abcflux_names,our_names,dataset,flux_method,latitude,longitude,num.months,num.years,start_year,end_year,Flux,co2.yearround,ch4.yearround
Bibai bog,,Terrestrial,EC,43.32300556,141.8106972,74,7,2015,2021,CO2 and CH4,Y,Y
Kherlenbayan Ulaan,,Terrestrial,EC,47.213972,108.737333,72,6,2003,2008,CO2,Y,N
Hustai grassland,,Terrestrial,EC,47.594131,105.856439,72,6,2015,2020,CO2,Y,N
Nalaikh grassland,,Terrestrial,EC,47.693592,107.489342,72,6,2015,2020,CO2,Y,N
"Ontario - Groundhog River, Boreal Mixedwood Forest",Groundhog River,Terrestrial,EC,48.2173,-82.1555,125,11,2003,2013,CO2,Y,N
Udleg practice forest,Udleg Forest Research Station,Terrestrial,EC,48.25638888,106.8511111,36,3,2010,2012,CO2,N,N
Southern Khentei Taiga,Southern Khentei Taiga,Terrestrial,EC,48.351861,108.654333,48,4,2003,2006,CO2,Y,N
"Quebec - Eastern Boreal, Mature Black Spruce",Eastern Old Black Spruce (EOBS),Terrestrial,EC,49.6925,-74.3421,88,8,2003,2010,CO2,Y,N
Quebec - 1975 Harvested Black Spruce,Quebec - 1975 Harvested Black Spruce (HBS75),Terrestrial,EC,49.7598,-74.5711,36,3,2008,2010,CO2,Y,N
Bouleau peatland,Bouleau Peatland,Terrestrial,EC,50.52040017,-63.20308966,29,3,2018,2020,CO2 and CH4,Y,N
Romaine-2 reservoir,La Romaine Hydroelectrix Complex - Hydropower reservoir (raft),Lentic,EC,50.6889992,-63.2494011,67,7,2018,2024,CO2 and CH4,Y,Y
Bernard Lake,La Romaine Hydroelectrix Complex - Lake,Lentic,EC,50.8614547,-63.3898409,19,3,2022,2024,CO2 and CH4,Y,Y
Bernard spruce-moss valley,La Romaine Hydroelectrix Complex - Boreal forest,Terrestrial,EC,50.9020996,-63.4051018,63,7,2018,2024,CO2 and CH4,Y,Y
Eastmain Reservoir,Eastmain Reservoir,Lentic,EC,52.124722,-75.929722,45,4,2008,2012,CO2,Y,N
"Lac Le Caron peatland, an ombrotrophic bog",Lac Le Caron,Terrestrial,EC,52.29027778,-75.25416667,45,5,2008,2012,CO2,N,N
Attawapiskat River Bog,Attawapiskat River Bog,Terrestrial,EC,52.695,-83.9452,56,5,2011,2015,CO2,Y,N
Attawapiskat River Fen,Attawapiskat River Fen,Terrestrial,EC,52.7008,-83.955,57,5,2011,2015,CO2,Y,N
HJP02 Jack Pine,HJP02 Jack Pine,Terrestrial,EC,53.15,-104.1,24,2,2004,2005,CO2,Y,N
HJP75 Jack Pine,HJP75 Jack Pine,Terrestrial,EC,53.15,-104.1,21,2,2004,2005,CO2,Y,N
HJP94 Jack Pine,HJP94 Jack Pine,Terrestrial,EC,53.15,-104.116667,24,2,2004,2005,CO2,Y,N
"Saskatchewan - Western Boreal, Mature Aspen",Southern Old Aspen (BERMS),Terrestrial,EC,53.6289,-106.1978,176,15,1996,2010,CO2,Y,N
"Saskatchewan - Western Boreal, Jack Pine harvested in 1975","Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",Terrestrial,EC,53.8758,-104.6453,37,4,2003,2006,CO2,Y,N
"Saskatchewan - Western Boreal, Mature Jack Pine","Saskatchewan - Western Boreal, Mature Jack Pine",Terrestrial,EC,53.91628955,-104.6919249,132,11,2000,2010,CO2,Y,N
"Saskatchewan - Western Boreal, Jack Pine harvested in 2002","Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",Terrestrial,EC,53.945,-104.649,48,4,2004,2007,CO2,Y,N
"Saskatchewan - Western Boreal, Mature Black Spruce","Saskatchewan - Western Boreal, Mature Black Spruce",Terrestrial,EC,53.9872,-105.1178,140,12,1999,2010,CO2,Y,N
"Saskatchewan - Western Boreal, forest burned in 1998","Saskatchewan - Western Boreal, forest burned in 1998",Terrestrial,EC,54.0916,-106.0053,59,6,2001,2006,CO2,N,N
"Saskatchewan - Western Boreal, forest burned in 1989","Saskatchewan - Western Boreal, forest burned in 1989",Terrestrial,EC,54.2539,-105.8775,48,5,2001,2005,CO2,N,N
Alberta - Western Peatland - Rich Fen  (Carex),Alberta - Western Peatland - Rich Fen  (Carex),Terrestrial,EC,54.47,-113.32,32,3,2004,2006,CO2,N,N
"Saskatchewan - Western Boreal, forest burned in 1977","Saskatchewan - Western Boreal, forest burned in 1977",Terrestrial,EC,54.485,-105.8176,41,4,2003,2006,CO2,N,N
Hakasia 10 yr,,Terrestrial,EC,54.70455,90.07785,8,1,2004,2004,CO2,N,N
Hakasia Steppe,Hakasia Steppe,Terrestrial,EC,54.7252,90.0022,30,3,2002,2004,CO2,N,N
Hakasia 5yr,,Terrestrial,EC,54.77301,89.95664,9,2,2002,2003,CO2,N,N
"Alberta - Western Peatland - LaBiche River,Black Spruce,Larch Fen",La Biche River,Terrestrial,EC,54.95384,-112.46698,73,7,2003,2009,CO2,Y,N
Alberta - Western Peatland - Poor Fen (Sphagnum moss),Alberta - Western Peatland - Poor Fen (Sphagnum moss),Terrestrial,EC,55.5375,-112.3343,32,3,2004,2006,CO2,N,N
UCI-1981 burn site,UCI-1981 burn site,Terrestrial,EC,55.8631,-98.485,50,5,2001,2005,CO2,Y,N
UCI-1850 burn site,UCI-1850 burn site,Terrestrial,EC,55.8792,-98.4839,40,4,2002,2005,CO2,Y,N
Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),"Manitoba, Northern Old Black Spruce (BOREAS)",Terrestrial,EC,55.8796,-98.4808,149,13,1994,2008,CO2,Y,N
UCI-1930 burn site,UCI-1930 burn site,Terrestrial,EC,55.9058,-98.5247,50,5,2001,2005,CO2,Y,N
UCI-1964 burn site,UCI-1964 burn site,Terrestrial,EC,55.9117,-98.3822,50,5,2001,2005,CO2,Y,N
UCI-1964 burn site wet,UCI-1964 burn site wet,Terrestrial,EC,55.9144,-98.3806,33,3,2003,2005,CO2,N,N
UCI-1989 burn site,UCI-1989 burn site,Terrestrial,EC,55.9167,-98.9644,48,5,2001,2005,CO2,Y,N
Hyltemossa,Hyltemossa,Terrestrial,EC,56.09763,13.41897,71,6,2015,2020,CO2,Y,N
Faejemyr,Faejemyr,Terrestrial,EC,56.2655,13.5535,53,5,2005,2009,CO2,Y,N
Fyodorovskoye2,Fyodorovskoye dry spruce,Terrestrial,EC,56.447603,32.901878,68,6,2015,2020,CO2 and CH4,Y,Y
Fyodorovskoye,Fyodorovskoye,Terrestrial,EC,56.4615278,32.9220833,272,23,1998,2020,CO2,Y,N
Umiujaq,Umiujaq,Terrestrial,EC,56.556557,-76.48234,35,4,2017,2020,CO2,Y,N
UCI-1998 burn site,UCI-1998 burn site,Terrestrial,EC,56.6358,-99.9483,41,4,2002,2005,CO2,Y,N
"Plotnikovo field station, Tomsk, Rusia",Plotnikovo,Terrestrial,EC,56.813743,82.852093,6,1,2022,2022,CO2,N,N
Skogaryd,,Lentic,EC,58.371111,12.161278,7,1,2013,2013,CH4,N,N
Pitsalu,,Terrestrial,EC,58.562,24.37,13,2,2022,2023,CO2 and CH4,N,N
Churchill Fen 3,Churchill Fen,Terrestrial,EC,58.6658,-93.8304,28,3,2022,2024,CO2 and CH4,Y,Y
Churchill Fen Site 1,Churchill Fen Site 1,Terrestrial,EC,58.6658,-93.83,24,2,2007,2008,CO2,N,N
Churchill Fen Site 2,Churchill Fen Site 2,Terrestrial,EC,58.6658,-93.83,18,4,2008,2011,CH4,N,N
Lutose,Lutose,Terrestrial,EC,59.45,-117.25,29,3,2021,2023,CO2,Y,Y
Steen River,Steen River,Terrestrial,EC,59.6,-117.3,37,4,2020,2023,CO2,Y,N
Elgeeii forest station,Elgeeii,Terrestrial,EC,60.01551563,133.8240123,108,9,2010,2018,CO2,N,N
Norunda,Norunda,Terrestrial,EC,60.08649721,17.47950279,180,15,1999,2023,CO2,Y,N
Finse west,Finse,Terrestrial,EC,60.11,7.53,36,3,2019,2021,CO2,Y,N
Skyttorp 1,"Skyttorp, young",Terrestrial,EC,60.125,17.91805556,48,4,2005,2008,CO2,Y,N
Skyttorp 2,Skyttorp,Terrestrial,EC,60.12966667,17.84005556,12,2,2004,2005,CO2,N,N
Taemnaren,Taemnaren,Lentic,EC,60.16,17.32,18,3,2010,2012,CO2 and CH4,N,N
Wolf_creek_Buckbrush,Wolf Creek Buckbrush,Terrestrial,EC,60.521631,-135.19715,96,8,2015,2022,CO2,N,N
