Site_Name,Country,region,Latitude,Longitude
Chisasibi,Canada,Quebec,53.98067,-75.966599
Quebec New Site,Canada,Quebec,52.728367,-75.966599
Arviat,Canada,,61.10503,-94.175921
Baker lake,Canada,Nunavut,64.331665,-96.010433
Blanc Sablon,Canada,Quebec,51.47122222,-57.19701667
Cape Dorset,Canada,Nunavut,64.31251972,-76.53857863
CEF cluster,Canada,Quebec,53.98067,-72.01071
Chesterfield Inlet,Canada,Nunavut,63.33829022,-90.70008163
Fort Good Hope,Canada,Northwest Territories,66.26661277,-128.6333218
Gillam Reservoir,Canada,Manitoba,56.29893333,-95.33698611
Ivugivik,Canada,Quebec,62.41664105,-77.89998438
Kangiqsuallujjuaq,Canada,Quebec,58.721456,-65.949649
Kangirsuk,Canada,Quebec,60.02482322,-69.99909713
Kimmirut,Canada,Nunavut,62.85002545,-69.88331608
Kugluktuk,Canada,Nunavut,67.787098,-115.297788
Lutselk e park,Canada,Northwest Territories,62.454314,-110.00678
Mackezie,Canada,Northwest Territories,69.2,-135.25
Mayo,Canada,Yukon,63.62255048,-135.8561558
Naujaat,Canada,Nunavut,66.52946689,-86.28293502
Pangnirtung,Canada,Nunavut,66.13331342,-65.75002832
Port Burwell,Canada,Newfoundland and Labrador,60.26646222,-64.74109766
Radisson Ecological Research Station,Canada,,53.783729,-77.600231
Rankin Inlet,Canada,Nunavut,62.81666831,-92.09531946
Salluit,Canada,Quebec,62.18259849,-75.65950098
Schefferville,Canada,,54.8046,-66.8083
Slave river delta,Canada,Northwest Territories,61.19433115,-113.6512751
Thaidene Nene,Canada,,62.4161,-110.6894
Tsiigehtchic,Canada,Northwest Territories,67.43328575,-133.7499862
WhapmagoostuiKuujjuarapik,Canada,Quebec,55.267955,-77.750742
Churchill Tall,Canada,Manitoba,58.641436,-93.824679
Umiujaq Forest,Canada,Quebec,56.552187,-76.457378
Klaksvik,Faroe Islands,Eysturoyar,62.2374783,-6.53901149
Torshavn,Faroe Islands,Eysturoyar,62.03002382,-6.820033612
Joensuu,Finland,North Karelia,62.59998903,29.76664791
Kilpisjarvi,Finland,,69.065072,20.81571
Kuopio,Finland,Eastern Finland,62.89428632,27.69493974
Rovaniemi,Finland,Lapland,66.50003522,25.71593909
Savonlinna,Finland,Southern Savonia,61.86662294,28.88334265
Ilulissat,Greenland,Qaasuitsup Kommunia,69.21666526,-51.09996647
Ittoqqortoormiit,Greenland,Kommuneqarfik Sermersooq,70.48335797,-21.9666543
Kangersuatsiaq,Greenland,NaN,72.37963955,-55.54911893
Nuussuaq,Greenland,Qaasuitsup Kommunia,74.12096872,-57.06736051
Uummannaq,Greenland,NaN,70.67502343,-52.12293443
RIF,Iceland,NorthEast,66.492222,-16.169016
Stjornarfoss,Iceland,South,63.800769,-18.137643
Tindfjallajokull,Iceland,NorthEast,64.301012,-19.921179
Mongolia Meadow steppe,Mongolia,,49.4857,106.0351
Khueder,Mongolia,,49.682536,107.649645
Khagiin Khar Lake Forest,Mongolia,,48.39296,107.909619
Khan Khentii,Mongolia,,48.882569,108.88323
Bergen,Norway,Hordaland,60.39100242,5.324522256
Enontekio,Norway,,68.833026,23.913137
Gjovik,Norway,Oppland,60.80002138,10.7000081
Steinkjer,Norway,Nord-Trøndelag,64.01706016,11.50001094
Agapa,Russia,Taymyr,71.45037905,89.24999386
Archangel,Russia,Arkhangel'sk,64.57495892,40.5450081
Batagai,Russia,Sakha (Yakutia),67.65598533,134.6350272
Beringovskiy,Russia,Chukchi Autonomous Okrug,63.0654645,179.3066674
Boyarka,Russia,Taymyr,70.76698407,97.50003292
Bugrino,Russia,Nenets,68.80787884,49.30416337
Chernyshevskii,Russia,Sakha (Yakutia),63.01275454,112.4714188
Chulman,Russia,,56.817923,124.955189
Dikson,Russia,Taymyr,73.50697186,80.54509884
Egvekinot,Russia,Chukchi Autonomous Okrug,66.32213166,-179.1837225
Eldikan,Russia,Sakha (Yakutia),60.80002138,135.1833142
Enurmino,Russia,Chukchi Autonomous Okrug,66.95000775,-171.8166032
