site,MeanTemp,Precip,PrecipSeasonality,MeanDiurnalRange,Isothermality,TempSeasonality,TempAnnualRange,NDVImax,NDVIsum,EVImax,NDWImin,SWIRaug,BulkDens,pH,CStock,CDensity,Sand,Silt,Clay,Permafrost,Type,2022 list,Our List,ADDED,edited,Site_ID,Latitude,Longitude,Country,Contact,Contact_Email,Data_Availability,Reference,Reference_Short,Additional_Information,Anemometer,Gas_Analyser,Power,Ecosystem,GHG,Complementary_Measurements,Start_CO2,End_CO2,Start_CH4,End_CH4,Start_N2O,End_N2O,Season_Activity,Terrestrial,Aquatic,ignore,active,methane,Ext_Type,State,Population,x,y,pc1,pc2,pc3,pc4
ARM-AMF3-Oliktok,-11.6708335876465,144,73.122917175293,5.72500038146973,13.5023584365845,1384.90478515625,42.4000015258789,0.0872799977660179,0.244646772742271,1.92623996734619,0.54900997877121,0.25602999329567,0.821075022220612,6.65250015258789,652,486.049987792969,49.625,31.3999996185303,19.25,1,EC_Tower,ARM-AMF3-Oliktok,ARM-AMF3-Oliktok,No,no,US-A03,70.4953,-149.8823,USA,Ryan Sullivan,rcsullivan@anl.gov,https://ameriflux.lbl.gov/data/download-data/?request=policy:CCBY4.0;site_id:US-A03,"Chu, H., Luo, X., Ouyang, Z., Chan, W. S., Dengel, S., Biraud, S. C., Torn, M. S., Metzger, S., Kumar, J., Arain, M. A., Arkebauer, T. J., Baldocchi, D., Bernacchi, C., Billesbach, D., Black, T. A., Blanken, P. D., Bohrer, G., Bracho, R., Brown, S., Brunsell, N. A., Chen, J., Chen, X., Clark, K., Desai, A. R., Duman, T., Durden, D., Fares, S., Forbrich, I., Gamon, J. A., Gough, C. M., Griffis, T., Helbig, M., Hollinger, D., Humphreys, E., Ikawa, H., Iwata, H., Ju, Y., Knowles, J. F., Knox, S. H., Kobayashi, H., Kolb, T., Law, B., Lee, X., Litvak, M., Liu, H., Munger, J. W., Noormets, A., Novick, K., Oberbauer, S. F., Oechel, W., Oikawa, P., Papuga, S. A., Pendall, E., Prajapati, P., Prueger, J., Quinton, W. L., Richardson, A. D., Russell, E. S., Scott, R. L., Starr, G., Staebler, R., Stoy, P. C., Stuart-Ha‰ntjens, E., Sonnentag, O., Sullivan, R. C., Suyker, A., Ueyama, M., Vargas, R., Wood, J. D., Zona, D. (2021) Representativeness Of Eddy-Covariance Flux Footprints For Areas Surrounding Ameriflux Sites, Agricultural And Forest Meteorology, 301-302, 108350.","Chu et al. (2021), https://doi.org/10.1016/j.agrformet.2021.108350",https://ameriflux.lbl.gov/sites/siteinfo/US-A03,Gill WindMaster Pro,LI-7500,NA,barren,"CO2,CH4","net radiation, PAR, temperature, humidity, soil moisture, soil temperature, pressure, precipitation",2014,2021,2014,2021,NA,NA,All year,TRUE,FALSE,no,inactive,methane,NA,NA,NA,-1073359.30684217,1850324.3078412,3.49288867532978,-1.29528310455648,1.10221068320331,0.245116819599033
ARM-NSA-Barrow,-11.908332824707,107,84.1999893188477,6,15.4639177322388,1270.62414550781,38.7999992370605,0.0930500030517578,0.315012872219086,2.25662994384766,0.656069993972778,0.34595000743866,0.894075036048889,5.75,791,572.950012207031,49.75,31.2250003814697,19.6749992370605,1,EC_Tower,ARM-NSA-Barrow,ARM-NSA-Barrow,No,no,US-A10,71.3242,-156.6149,USA,Ryan Sullivan,rcsullivan@anl.gov,https://ameriflux.lbl.gov/data/download-data/?request=policy:CCBY4.0;site_id:US-A10,NA,NA,https://ameriflux.lbl.gov/sites/siteinfo/US-A10,Gill WindMaster Pro,LI-7500,NA,barren,"CO2,CH4","net radiation, PAR, temperature, humidity, soil moisture, soil temperature, pressure, precipitation",2012,2024,2012,NA,NA,NA,All year,TRUE,FALSE,no,active,methane,NA,NA,NA,-812316.004662132,1878491.65531305,2.52187219616243,-1.13425402698358,1.74507282239885,-0.342942946195986
"Abisko, main tower",-0.495833307504654,341,42.8396873474121,7.72499990463257,24.2924518585205,840.285278320312,31.8000011444092,0.0450400002300739,0.376865744590759,3.63694000244141,0.74888002872467,0.359149992465973,1.22602498531342,6.23750019073486,399,235.274993896484,52.8499984741211,36.125,11.125,7.95729516539723e-4,EC_Tower,"Abisko, main tower","Abisko, main tower",No,no,SE-Abi,68.3624,18.7948,Sweden,Torben Christensen,torben.christensen@ecos.au.dk,NA,NA,NA,http://www.fluxdata.org:8080/sitepages/siteInfo.aspx?SE-Abi,NA,NA,NA,tundra,CO2,NA,2005,2024,NA,NA,NA,NA,Summer,TRUE,FALSE,no,active,nonmethane,NA,NA,NA,766206.063653552,-2251385.27632802,-1.9304807793551,-1.85654649865125,-0.55512807373103,1.1915967443283
Adventdalen,-5.52083349227905,308,19.8001384735107,5.49166679382324,20.339506149292,793.938537597656,27,0.0873600021004677,0.0998821631073952,1.39756000041962,0.439399987459183,0.197219997644424,1.20017504692078,6.92999982833862,443,455.075012207031,49.125,34.7750015258789,16.0249996185303,0.937373280525208,EC_Tower,Adventdalen,Adventdalen,No,yes,SJ-Adv,78.1854,15.9242,Norway,Torben Christensen,torben.christensen@ecos.au.dk,NA,"Pirk, N., Sievers, J., Mertes, J., Parmentier, F. J. W., Mastepanov, M., & Christensen, T. R. (2017). Spatial variability of CO2 uptake in polygonal tundra: assessing low-frequency disturbances in eddy covariance flux estimates. Biogeosciences, 14(12), 3157-3169. doi:10.5194/bg-14-3157-2017","Pirk et al. (2017), https://doi.org/10.5194/bg-14-3157-2017",http://www.europe-fluxdata.eu/home/site-details?id=SJ-Adv,Metek USA-1,LI-7200,"wind, solar, fuel cell","tundra, wetland",CO2,NA,2011,2024,NA,NA,NA,NA,All year,TRUE,FALSE,no,active,nonmethane,NA,NA,NA,353401.626337806,-1238640.20044144,1.93904365956326,-3.62291017852184,-0.168296542441906,2.58710204589531
Aemmaessuo,4.71250009536743,678,29.4440670013428,6.79166650772095,22.7146034240723,821.730773925781,29.9000015258789,0.118450000882149,0.115857742726803,3.96349000930786,0.534309983253479,0.313270002603531,1.32580006122589,6.13000011444092,392,283.5,44.4249992370605,29.0249996185303,26.6000003814697,0,EC_Tower,Aemmaessuo,Aemmaessuo,No,no,,60.2365,24.5344,Finland,Tuomas Laurila,tuomas.laurila@fmi.fi,NA,"Laurila, T., Tuovinen, J.-P., Lohila, A., Hatakka, J., Aurela, M., Thum, T., . . . Vesala, T. (2005). Measuring methane emissions from a landfill using a cost-effective micrometeorological method. Geophys. Res. Lett., 32(19). doi:10.1029/2005GL023462","Laurila et al. (2005), https://doi.org/10.1029/2005GL023462",NA,Metek USA-1,"LI-7000, LGR, TGA-100",NA,urban,"CO2,CH4,N2O","net radiation, temperature, humidity, soil temperature",2003,2024,2003,NA,NA,NA,Summer,TRUE,FALSE,no,active,methane,NA,NA,NA,1372648.31908836,-3007215.8733569,-1.19632156955122,-2.63485181855068,-1.18014862912,3.17327510937483
Agali Forest Station,5.39166688919067,607,35.4048843383789,7.71666669845581,24.7329063415527,855.030151367188,31.2000007629395,0.0616800002753735,0.266100645065308,7.05782985687256,0.854579985141754,0.627699971199036,1.39955008029938,5.99749994277954,402,315.125,57.2750015258789,29.7749996185303,13.2250003814697,0,EC_Tower,NA,Agali Forest Station,No,no,,58.2875,27.2835,Greenland,Kaido Soosaar,kaido.soosaar@ut.ee,NA,NA,NA,NA,NA,NA,NA,forest,"CO2,CH4",NA,2017,2024,2017,NA,NA,NA,Summer,TRUE,FALSE,no,active,methane,NA,NA,NA,1619427.78381956,-3139802.06518532,-4.03312021730955,-1.67386746477937,-0.776187540230873,1.29927674397625
Agapa,-12.2791662216187,363,23.3611946105957,7.09166669845581,14.5619440078735,1519.58349609375,48.7000007629395,0.111309997737408,0.262318402528763,2.31202983856201,0.630620002746582,0.367909997701645,0.893549978733063,6.44999980926514,655,448.399993896484,50.0250015258789,36.9749984741211,13.6000003814697,1,NA,NA,NA,NA,NA,NA,71.450379,89.249994,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Taymyr,10,2032366.73286921,-26605.3507780403,2.45922945743633,-1.39368571828126,1.55527856989738,-0.148493056915212
Akureyri,3.1875,563,30.1964702606201,6.39166641235352,32.2811431884766,510.085205078125,19.7999992370605,0.0870999991893768,0.243775427341461,4.26098012924194,0.71110999584198,0.51459002494812,1.35582494735718,6.21750020980835,255,266.524993896484,45.0750007629395,39.2000007629395,15.8249998092651,0,NA,NA,NA,NA,NA,NA,65.666572,-18.100017,Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Akureyri,16563,-833468.032560501,-2549996.08985856,-3.21360682544927,-2.51083896444723,-0.790904217782022,3.75024191379337
Alapayevsk,2.13749980926514,504,55.6728324890137,9.22500038146973,20.4545459747314,1235.34155273438,45.0999984741211,0.104950003325939,0.0254693794995546,3.25040006637573,0.547410011291504,0.333200007677078,1.27132499217987,6.23000001907349,378,191.199996948242,31.5249996185303,39.3499984741211,29.25,0,NA,NA,NA,NA,NA,NA,57.846507,61.691521,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Sverdlovsk,44000,3155836.58300908,-1699845.39417314,0.18831192604104,0.442373802055379,-1.07385649710733,3.28889368381412
Alberta - Western Peatland - Poor Fen (Sphagnum moss),-0.220833212137222,503,65.3671112060547,12.0416669845581,25.3508777618408,1242.07568359375,47.5,0.0606900006532669,0.38774237036705,5.70965003967285,0.754059970378876,0.454549998044968,1.31442499160767,6.02750015258789,218,134.399993896484,50.3250007629395,28.7749996185303,21.25,0.0925193950533867,EC_Tower,NA,Alberta - Western Peatland - Poor Fen (Sphagnum moss),No,no,CA-WP2,55.5375,-112.3343,Canada,Lawrence Flanagan,larry.flanagan@uleth.ca,https://ameriflux.lbl.gov/data/download-data/?request=policy:LEGACY;site_id:CA-WP2,NA,NA,https://ameriflux.lbl.gov/sites/siteinfo/CA-WP2,NA,NA,NA,wetland,CO2,NA,2004,2006,NA,NA,NA,NA,Summer,TRUE,FALSE,no,inactive,nonmethane,NA,NA,NA,-3567660.68076235,1465699.91726704,-2.42712205761768,0.844481267983219,-2.06759725593594,0.262836601375909
