site,MeanTemp,Precip,PrecipSeasonality,MeanDiurnalRange,Isothermality,TempSeasonality,TempAnnualRange,NDVImax,NDVIsum,EVImax,NDWImin,SWIRaug,BulkDens,pH,CStock,CDensity,Sand,Silt,Clay,Permafrost,abcflux_name,Site_ID,Latitude,Longitude,Country,Contact,Contact_Email,Ecosystem,GHG,Start_CO2,End_CO2,Start_CH4,End_CH4,Start_N2O,End_N2O,Season_Activity,Terrestrial,Aquatic,active,Ext_Type,State,Population,x,y,pc1,pc2,pc3,pc4,active.2022,active.2024,methane.2022,methane.2024,Season_Activity.2022,Season_Activity.2024,annualmethane2022,annualmethane2024
ARM-AMF3-Oliktok,-11.6708335876465,144,73.122917175293,5.72500038146973,13.5023584365845,1384.90478515625,42.4000015258789,0.0872799977660179,0.244646772742271,1.92623996734619,0.54900997877121,0.25602999329567,0.821075022220612,6.65250015258789,652,486.049987792969,49.625,31.3999996185303,19.25,1,ARM-NSA-Oliktok,US-A03,70.4953,-149.8823,USA,Ryan Sullivan,rcsullivan@anl.gov,barren,"CO2,CH4",2014,2021,2014,2021,NA,NA,All year,TRUE,FALSE,inactive,NA,NA,NA,-1073359.30684217,1850324.3078412,3.46227959584653,-1.22707205074484,1.102324260757,0.216507463097697,inactive,inactive,methane,methane,All year,All year,no,no
ARM-NSA-Barrow,-11.908332824707,107,84.1999893188477,6,15.4639177322388,1270.62414550781,38.7999992370605,0.0930500030517578,0.315012872219086,2.25662994384766,0.656069993972778,0.34595000743866,0.894075036048889,5.75,791,572.950012207031,49.75,31.2250003814697,19.6749992370605,1,ARM-NSA-Barrow,US-A10,71.3242,-156.6149,USA,Ryan Sullivan,rcsullivan@anl.gov,barren,"CO2,CH4",2012,2024,2012,NA,NA,NA,All year,TRUE,FALSE,active,NA,NA,NA,-812316.004662132,1878491.65531305,2.50424249917519,-1.06105492188722,1.74744531371988,-0.365771104061328,active,active,methane,methane,All year,All year,annualmethane,annualmethane
"Abisko, main tower",-0.495833307504654,341,42.8396873474121,7.72499990463257,24.2924518585205,840.285278320312,31.8000011444092,0.0450400002300739,0.376865744590759,3.63694000244141,0.74888002872467,0.359149992465973,1.22602498531342,6.23750019073486,399,235.274993896484,52.8499984741211,36.125,11.125,7.95729516539723e-4,Abisko Stordalen birch forest,SE-Abi,68.3624,18.7948,Sweden,Torben Christensen,torben.christensen@ecos.au.dk,tundra,CO2,2005,2024,NA,NA,NA,NA,Summer,TRUE,FALSE,active,NA,NA,NA,766206.063653552,-2251385.27632802,-1.93182689376141,-1.841475634956,-0.545380840919773,1.16809654953981,active,active,nonmethane,nonmethane,Summer,Summer,no,no
Adventdalen,-5.52083349227905,308,19.8001384735107,5.49166679382324,20.339506149292,793.938537597656,27,0.0873600021004677,0.0998821631073952,1.39756000041962,0.439399987459183,0.197219997644424,1.20017504692078,6.92999982833862,443,455.075012207031,49.125,34.7750015258789,16.0249996185303,0.937373280525208,Adventdalen,SJ-Adv,78.1854,15.9242,Norway,Torben Christensen,torben.christensen@ecos.au.dk,"tundra, wetland",CO2,2011,2024,NA,NA,NA,NA,All year,TRUE,FALSE,active,NA,NA,NA,353401.626337806,-1238640.20044144,1.92310892698797,-3.57694158381061,-0.159212413620484,2.54320476827982,active,active,nonmethane,nonmethane,All year,All year,no,no
Aemmaessuo,4.71250009536743,678,29.4440670013428,6.79166650772095,22.7146034240723,821.730773925781,29.9000015258789,0.118450000882149,0.115857742726803,3.96349000930786,0.534309983253479,0.313270002603531,1.32580006122589,6.13000011444092,392,283.5,44.4249992370605,29.0249996185303,26.6000003814697,0,,,60.2365,24.5344,Finland,Tuomas Laurila,tuomas.laurila@fmi.fi,urban,"CO2,CH4,N2O",2003,2024,2003,NA,NA,NA,Summer,TRUE,FALSE,active,NA,NA,NA,1372648.31908836,-3007215.8733569,-1.20132557272604,-2.59880135557752,-1.1695312457,3.15419541151,active,active,methane,methane,Summer,Summer,no,no
Agali Forest Station,5.39166688919067,607,35.4048843383789,7.71666669845581,24.7329063415527,855.030151367188,31.2000007629395,0.0616800002753735,0.266100645065308,7.05782985687256,0.854579985141754,0.627699971199036,1.39955008029938,5.99749994277954,402,315.125,57.2750015258789,29.7749996185303,13.2250003814697,0,,,58.2875,27.2835,Estonia,Kaido Soosaar,kaido.soosaar@ut.ee,forest,"CO2,CH4",2017,2024,2017,NA,NA,NA,Summer,TRUE,FALSE,active,NA,NA,NA,1619427.78381956,-3139802.06518532,-3.99940641250449,-1.66081014099802,-0.778866142573014,1.25266490443152,active,active,methane,methane,Summer,Summer,no,no
Agapa,-12.2791662216187,363,23.3611946105957,7.09166669845581,14.5619440078735,1519.58349609375,48.7000007629395,0.111309997737408,0.262318402528763,2.31202983856201,0.630620002746582,0.367909997701645,0.893549978733063,6.44999980926514,655,448.399993896484,50.0250015258789,36.9749984741211,13.6000003814697,1,NA,NA,71.450379,89.249994,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Taymyr,10,2032366.73286921,-26605.3507780403,2.42955039399494,-1.31773752375375,1.55174686367092,-0.196963400523462,NA,NA,NA,NA,NA,extension,NA,NA
Akureyri,3.1875,563,30.1964702606201,6.39166641235352,32.2811431884766,510.085205078125,19.7999992370605,0.0870999991893768,0.243775427341461,4.26098012924194,0.71110999584198,0.51459002494812,1.35582494735718,6.21750020980835,255,266.524993896484,45.0750007629395,39.2000007629395,15.8249998092651,0,NA,NA,65.666572,-18.100017,Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Akureyri,16563,-833468.032560501,-2549996.08985856,-3.17477543069109,-2.50716099375582,-0.790012609806092,3.72165084650009,NA,NA,NA,NA,NA,extension,NA,NA
Alapayevsk,2.13749980926514,504,55.6728324890137,9.22500038146973,20.4545459747314,1235.34155273438,45.0999984741211,0.104950003325939,0.0254693794995546,3.25040006637573,0.547410011291504,0.333200007677078,1.27132499217987,6.23000001907349,378,191.199996948242,31.5249996185303,39.3499984741211,29.25,0,NA,NA,57.846507,61.691521,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Populated_Place,Sverdlovsk,44000,3155836.58300908,-1699845.39417314,0.154581738200685,0.480935128365226,-1.08667224112333,3.29141903463707,NA,NA,NA,NA,NA,extension,NA,NA
Alberta - Western Peatland - Poor Fen (Sphagnum moss),-0.220833212137222,503,65.3671112060547,12.0416669845581,25.3508777618408,1242.07568359375,47.5,0.0606900006532669,0.38774237036705,5.70965003967285,0.754059970378876,0.454549998044968,1.31442499160767,6.02750015258789,218,134.399993896484,50.3250007629395,28.7749996185303,21.25,0.0925193950533867,Alberta - Western Peatland - Poor Fen (Sphagnum moss),CA-WP2,55.5375,-112.3343,Canada,Lawrence Flanagan,larry.flanagan@uleth.ca,wetland,CO2,2004,2006,NA,NA,NA,NA,Summer,TRUE,FALSE,inactive,NA,NA,NA,-3567660.68076235,1465699.91726704,-2.44388870077332,0.845751599468827,-2.06705164685012,0.270882159519004,inactive,inactive,nonmethane,nonmethane,Summer,Summer,no,no
Alberta - Western Peatland - Rich Fen  (Carex),1.48749995231628,494,66.4788360595703,11.6416664123535,26.8241176605225,1149.13830566406,43.4000015258789,0.0377699993550777,0.183945834636688,4.94562005996704,0.794439971446991,0.418500006198883,1.35792505741119,6.21750020980835,223,116.449996948242,46.7000007629395,29.8999996185303,23.0499992370605,0,Alberta - Western Peatland - Rich Fen  (Carex),CA-WP3,54.47,-113.32,Canada,Lawrence Flanagan,larry.flanagan@uleth.ca,wetland,CO2,2004,2006,NA,NA,NA,NA,Summer,TRUE,FALSE,inactive,NA,NA,NA,-3658616.01106423,1577163.18054859,-2.39953557943416,0.830223014747101,-2.39725919145948,1.3539879997008,inactive,inactive,nonmethane,nonmethane,Summer,Summer,no,no
