"","site","means","Latitude","Longitude","country","State","Population","rank"
"1","Yessey",-0.0331923365456986,68.483738,102.166622,"Russia","Evenk",10,1
"2","Menkere",-0.0300732575683138,67.988601,123.350496,"Russia","Sakha (Yakutia)",10,2
"3","Ust Kuyga",-0.02930107372082,70.017056,135.600033,"Russia","Sakha (Yakutia)",1517,3
"4","Govorovo",-0.0284420194005303,70.211359,125.993281,"Russia","Sakha (Yakutia)",943,4
"5","Natara",-0.0252116107000601,68.410616,123.9255,"Russia","Sakha (Yakutia)",10,5
"6","Zhilinda",-0.0240280566744771,70.133689,114.000008,"Russia","Sakha (Yakutia)",10,6
"7","Tunguskhaya",-0.0235690967710608,64.900443,125.250019,"Russia","Sakha (Yakutia)",10,7
"8","Susuman",-0.0233176063145013,62.783337,148.166759,"Russia","Maga Buryatdan",7367,8
"9","Kavache",-0.0222139214137933,70.733291,136.216636,"Russia","Sakha (Yakutia)",-99,9
"10","Udachnyy",-0.0197678704507236,66.423167,112.39654,"Russia","Sakha (Yakutia)",15266,10
"11","Omolon",-0.0192334030581423,65.249982,160.500012,"Russia","Chukchi Autonomous Okrug",1050,11
"12","Omsukchan",-0.0185220916528976,62.533275,155.80004,"Russia","Maga Buryatdan",4201,12
"13","Tynda",-0.0179683832454168,55.174267,124.707571,"Russia","Amur",37335,13
"14","Krasnoturinsk",-0.0171398939647124,59.794786,60.484773,"Russia","Sverdlovsk",64878,14
"15","Put Lenina",-0.0165850222165947,68.516631,107.799973,"Russia","Sakha (Yakutia)",298,15
"16","Chegdomyn",-0.0161683767654994,51.117796,133.024118,"Russia","Khabarovsk",14855,16
"17","Ust Nera",-0.0155500792591072,64.566587,143.199983,"Russia","Sakha (Yakutia)",9148,17
"18","Nizhneyansk",-0.0154641182219503,71.433326,136.066619,"Russia","Sakha (Yakutia)",400,18
"19","Olenek",-0.0147141859566526,68.525002,112.450025,"Russia","Sakha (Yakutia)",10,19
"20","Oymyakon",-0.0138291148590682,63.421446,142.769768,"Russia","Sakha (Yakutia)",500,20
"21","Ennadai",-0.0134447910145972,61.133283,-100.883336,"Canada","Nunavut",0,21
"22","Hearst",-0.0131144191228408,49.700492,-83.666583,"Canada","Ontario",5043,22
"23","Ust Kut",-0.012912673818003,56.764971,105.759994,"Russia","Irkutsk",25388,23
"24","Kirs",-0.0128744360377633,59.313833,52.245173,"Russia","Kirov",11385,24
"25","Bilibino",-0.0128373484389972,68.050406,166.333299,"Russia","Chukchi Autonomous Okrug",5757,25
"26","Neryungri",-0.0125735519049296,56.674046,124.710362,"Russia","Sakha (Yakutia)",66320,26
"27","Naujaat",-0.0123081786663568,66.529467,-86.282935,"Canada","Nunavut",1000,27
"28","Saskylakh",-0.0122646518259668,71.91663,114.08331,"Russia","Sakha (Yakutia)",1920,28
"29","Bodaybo",-0.0122324406998023,57.964975,114.32898,"Russia","Irkutsk",15933,29
"30","Fort Good Hope",-0.0121952543057894,66.266613,-128.633322,"Canada","Northwest Territories",597,30
"31","Vitim",-0.0120334151398954,59.451499,112.557822,"Russia","Sakha (Yakutia)",3843,31
"32","Igloolik Research Center ",-0.0112801310680906,69.366667,-81.8,"Canada",NA,NA,32
"33","Montana",-0.0112260412345178,62.079685,-150.072763,"United States","Alaska",10,33
"34","Artemovsk",-0.0111845454943087,54.348736,93.435527,"Russia","Krasnoyarsk",4948,34
"35","Gubakha",-0.0108956615737573,58.869132,57.588722,"Russia","Perm'",31424,35
"36","UCI-1998 burn site",-0.0107774037606998,56.6358,-99.9483,"Canada",NA,NA,36
"37","UCI-1989 burn site",-0.0105338659047116,55.9167,-98.9644,"Canada",NA,NA,37
"38","Sangar",-0.0103817074484376,63.924146,127.473914,"Russia","Sakha (Yakutia)",4633,38
"39","Baker Lake",-0.0102034309143991,64.31699,-96.016656,"Canada","Nunavut",1584,39
"40","Poronaysk",-0.0100080263194264,49.241554,143.085002,"Russia","Sakhalin",16677,40
"41","Holman",-0.00997340983196946,70.733369,-117.749981,"Canada","Northwest Territories",500,41
"42","Slyudyanka",-0.00995302226324309,51.653836,103.698828,"Russia","Irkutsk",18809,42
"43","Utkholok",-0.00994142403908591,57.550401,157.233338,"Russia","Kamchatka",10,43
"44","Sioux Lookout",-0.00991340405474062,50.262964,-91.916648,"Canada","Ontario",4570,44
"45","Big Beaver House",-0.00981702556514823,52.949984,-89.883284,"Canada","Ontario",10,45
"46","Cape Dorset",-0.00967733858602509,64.31252,-76.538579,"Canada","Nunavut",1326,46
"47","Nyukzha",-0.00963116878513777,56.531212,121.613083,"Russia","Amur",10,47
"48","Ivugivik",-0.00953227224864783,62.416641,-77.899984,"Canada","Québec",156,48
"49","Utikuma Region, Northern Study Area",-0.00945532133068719,56.0756,-115.4769,"Canada",NA,NA,49
"50","Arctic Bay",-0.00931293064329563,73.033306,-85.166621,"Canada","Nunavut",604,50
"51","Savissivik",-0.00926527832224404,76.019476,-65.112481,"Greenland",NA,66,51
"52","Dease Lake",-0.00904759020395082,58.450346,-130.033288,"Canada","British Columbia",303,52
"53","Grise Fiord",-0.0089059774365128,76.441651,-82.949986,"Canada","Nunavut",23,53
"54","Southern Khentei Taiga",-0.00885241564851806,48.351861,108.654333,"Mongolia",NA,NA,54
"55","Tobolsk",-0.00877495297877482,58.199793,68.264815,"Russia","Tyumen'",113800,55
"56","Klyuchi",-0.00862273735748645,56.29996,160.850016,"Russia","Kamchatka",1089,56
"57","Cochrane",-0.00860876941415333,49.067017,-81.016564,"Canada","Ontario",4441,57
"58","Khakhar",-0.00849925742499545,57.666595,135.430018,"Russia","Khabarovsk",10,58
"59","Omchak",-0.00845238922144795,61.633278,147.916697,"Russia","Maga Buryatdan",10,59
"60","Wiseman",-0.00843408771287905,67.410471,-150.107489,"United States","Alaska",14,60
"61","UCI-1930 burn site",-0.00841993135859488,55.9058,-98.5247,"Canada",NA,NA,61
"62","Kizel",-0.00836435852791183,59.064365,57.634301,"Russia","Perm'",22135,62
"63","Kimmirut",-0.00814248107355235,62.850026,-69.883316,"Canada","Nunavut",385,63
"64","UCI-1981 burn site",-0.00811490888891428,55.8631,-98.485,"Canada",NA,NA,64
"65","Bezhetsk",-0.00799473484132064,57.764729,36.689998,"Russia","Tver'",34736,65
"66","Tasiusaq",-0.00780826651826005,73.369002,-56.059814,"Greenland",NA,250,66
"67","Fort Nelson",-0.00764382213783809,58.816706,-122.532971,"Canada","British Columbia",6315,67
"68","Bakal",-0.00753279600952657,54.945883,58.795884,"Russia","Chelyabinsk",26559,68
"69","Uapishka Research Station",-0.00752817708892869,51.469444,-68.234306,"Canada",NA,NA,69
"70","UCI-1850 burn site",-0.00746061015191795,55.8792,-98.4839,"Canada",NA,NA,70
"71","Paulatuk",-0.00708062774394369,69.383322,-123.983321,"Canada","Northwest Territories",294,71
"72","Noyabrsk",-0.00694710280613765,63.166544,75.616511,"Russia","Yamal-Nenets",110572,72
"73","Bagdarin",-0.00692696430125506,54.433304,113.600032,"Russia","Buryat",4676,73
