"","Variables","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"MeanTemp","MeanTemp",-0.35092905522451,-0.0590711444808673,0.0153305082135011,0.186984158022671,-0.137277365039869,-0.0647219948226898,-0.00835680671426007,-0.115606461564057,-0.0935866506875087,-0.0205378347886776,0.240431409294825,0.0982842570088484,-0.102610672803214,-0.0365674535770878,0.355665457566935,-0.58093083090391,-0.49707702845805,-0.00717178764652794,-0.0453882318849969,0.00187075703100752
"Precip","Precip",-0.278265192884665,-0.185540305691728,-0.0349486323274248,-0.06655001526166,-0.0644076960138419,-0.106308354564267,-0.541615268822847,0.148151732190944,0.0866825398227463,-0.101387085061166,0.107781075810388,-0.704869470928846,0.123398201499278,-0.0860195823903736,-0.00152518668699966,0.0414828232899434,0.0304220222354086,-0.0143137058948184,0.00401910739541493,8.83454963625668e-05
"PrecipSeasonality","PrecipSeasonality",0.146451404552071,0.280472009213899,-0.205457470636087,-0.0709556046035509,-0.0419053888382933,-0.41919709062722,0.413202967249622,-0.109593869028547,-0.262068866715006,-0.536681897786154,0.160278871215287,-0.299912300479382,0.0417318251266717,-0.101480686048316,-0.0649489326496535,-0.00575515044591968,-0.037782546993011,-0.0421457878593667,0.0238912901525724,-6.81146896525766e-06
"MeanDiurnalRange","MeanDiurnalRange",-0.103121067633097,0.379436675594824,-0.151919099900376,-0.187989788236474,-0.175471187446952,-0.358478386689531,-0.160299508943554,0.0594338808888387,0.185512987626685,0.154676227348563,-0.0362316702610634,0.164863165954526,0.0841024237307301,0.109200740957606,0.046920119782679,-0.410594071028692,0.518838674615649,0.0126794169945,-0.22907310061857,-0.000915524615257787
"Isothermality","Isothermality",-0.274861802367856,0.0249591764240842,-0.15129662830402,0.129605654459957,-0.107553992261351,-0.561269495749127,0.0417445151876828,-0.0494398205201829,0.30713471985423,0.184765825828219,-0.370896338221921,0.0966607206736065,-0.112247850670798,-0.0420762792453766,-0.0767002163529559,0.368885522387417,-0.342654963164672,-0.00116169303264587,0.0651208996002971,-0.000200216645902296
"TempSeasonality","TempSeasonality",0.205999765715916,0.350270525019613,-0.0159803419433844,-0.311516324144646,0.00626992967439785,0.111756563768304,-0.173317567911727,0.0622643276191481,-6.68349411719685e-05,0.0896093477919329,0.102368168168554,-0.0222793631001889,0.0659372033795593,0.0547676370411199,-0.0198753301301672,0.18272277977746,-0.480802084822583,0.092980044539472,-0.625444428640187,0.000476140594090046
"TempAnnualRange","TempAnnualRange",0.138555826425222,0.394071106005538,-0.0343917462208295,-0.324900080606186,-0.0725847622501015,0.0439369078892228,-0.221787926859004,0.0780861589494798,0.0374873205292144,0.1023959181974,0.134115138652574,0.0625613910581908,0.0715251291502654,0.108795191105919,0.0302819456888417,-0.0227023663806367,-0.244118752097996,0.00651317679774589,0.737881225499765,0.000563229958884509
"NDVImax","NDVImax",0.287412294934582,-0.17894262921214,-0.115855132080102,0.155780717635726,0.0192695318749472,-0.181263456588085,-0.257080621003978,0.0507059614728292,-0.32576771329763,-0.110711765326252,-0.353691834200042,0.11762181857078,0.459456922817738,0.349661737519853,0.284914878438597,-0.0147471502607549,-0.0921114608523278,-0.25495123347169,-0.0153933380814631,-0.000544473269256818
"NDVIsum","NDVIsum",-0.258539924507565,0.0431375172404184,0.226072715559477,-0.264083561810341,0.000134414188620475,0.250618915549514,0.388486338993313,0.0143509111505668,0.349368461747368,-0.176756288620357,-0.398114717362367,-0.209229751567331,0.338908089997023,0.260133858310832,-0.0182305527363937,-0.199651354443019,-0.117955667967667,-0.0655563558610167,0.00193974347063416,-0.000147390916891723
"EVImax","EVImax",-0.334524930134435,0.183190730202684,0.00277525913361993,0.0325478013716223,-0.0555269873573998,0.0895687974608044,0.157405134571847,0.0290655615194782,-0.125027924180973,0.0201876985419449,0.15491154808838,-0.0104843905844227,0.107479753149522,0.171121901453055,0.642023869185499,0.458734626956229,0.20065734192448,0.269877410417055,0.00528585311401913,-0.0011388518598819
