"NAME","SOV0NAME","ADM1NAME","LATITUDE","LONGITUDE","POP_MAX"
"Härnösand","Sweden","Västernorrland",62.633997,17.934004,17016
"Tønsberg","Kingdom of Norway","Vestfold",59.264001,10.421002,38914
"Mikkeli","Finland","Southern Savonia",61.689996,27.285004,46550
"Borgarnes","Iceland","Vesturland",64.569503,-21.862322,1783
"Sand Point","United States","Alaska",55.339709,-160.497191,667
"Mekoryuk","United States","Alaska",60.388647,-166.189937,99
"Port Heiden","United States","Alaska",56.949094,-158.626892,102
"Perryville","United States","Alaska",55.918614,-159.151149,113
"Dillingham","United States","Alaska",59.05656,-158.480312,2488
"Goodnews Bay","United States","Alaska",59.120993,-161.58713,230
"Nyac","United States","Alaska",61.004143,-159.940481,100
"Tununak","United States","Alaska",60.585487,-165.255789,352
"Emmonak","United States","Alaska",62.776981,-164.522992,100
"Kaltag","United States","Alaska",64.327196,-158.721899,190
"Koyukuk","United States","Alaska",64.880289,-157.70085,101
"Kobuk","United States","Alaska",66.907246,-156.880977,151
"Selawik","United States","Alaska",66.603879,-160.009391,832
"Talkeetna","United States","Alaska",62.323779,-150.109427,1078
"Montana","United States","Alaska",62.079685,-150.072763,10
"Lake Minchumina","United States","Alaska",63.882831,-152.312187,32
"Gulkana","United States","Alaska",62.271353,-145.382196,119
"Eagle","United States","Alaska",64.787995,-141.199997,104
"Allakaket","United States","Alaska",66.565483,-152.6455,97
"Tanana","United States","Alaska",65.171873,-152.07879,308
"Enurmino","Russia","Chukchi Autonomous Okrug",66.950008,-171.816603,297
"Zvëzdnyj","Russia","Chukchi Autonomous Okrug",70.956585,-179.589979,10
"Severomorsk","Russia","Murmansk",69.073057,33.423066,53921
"Apatity","Russia","Murmansk",67.573071,33.393042,66907
"Polyarnyy","Russia","Murmansk",69.205219,33.450247,19200
"Kolpino","Russia","City of St. Petersburg",59.730009,30.650005,225801
"Shuya","Russia","Ivanovo",56.854345,41.364286,60705
"Kineshma","Russia","Ivanovo",57.469966,42.129976,92983
"Bakal","Russia","Chelyabinsk",54.945883,58.795884,26559
"Verkhniy Ufaley","Russia","Chelyabinsk",56.066279,60.2313,33879
"Kirovo-Chepetsk","Russia","Kirov",58.55437,50.044377,90252
"Krasnoturinsk","Russia","Sverdlovsk",59.794786,60.484773,64878
"Asbest","Russia","Sverdlovsk",57.023043,61.458047,81248
"Alapayevsk","Russia","Sverdlovsk",57.846507,61.691521,44000
"Krasnouralsk","Russia","Sverdlovsk",58.351515,60.051518,20571
"Severouralsk","Russia","Sverdlovsk",60.156521,59.961549,36138
"Nefteyugansk","Russia","Khanty-Mansiy",61.077653,72.702684,112632
"Petrovsk Zabaykalskiy","Russia","Chita",51.282695,108.832675,20889
"Zemlya Bunge","Russia","Sakha (Yakutia)",74.898308,142.105011,10
"Khorgo","Russia","Sakha (Yakutia)",73.483304,113.630004,10
"Put Lenina","Russia","Sakha (Yakutia)",68.516631,107.799973,298
"Vanino","Russia","Khabarovsk",49.087326,140.242489,18618
"Omchak","Russia","Maga Buryatdan",61.633278,147.916697,10
"Uglegorsk","Russia","Sakhalin",49.083346,142.033335,12669
"Solikamsk","Russia","Perm'",59.669987,56.749962,100812
"Kizel","Russia","Perm'",59.064365,57.634301,22135
"Pakhachi","Russia","Kamchatka",60.581585,169.049981,10
"Savonlinna","Finland","Southern Savonia",61.866623,28.883343,27353
"Selkirk","Canada","Manitoba",50.150026,-96.883322,9986
"Berens River","Canada","Manitoba",52.366557,-97.033313,892
"Pukatawagan","Canada","Manitoba",55.733276,-101.316617,431
"Gimli","Canada","Manitoba",50.633303,-96.999981,2623
"Island Lake","Canada","Manitoba",53.966588,-94.766578,10
"Stony Rapids","Canada","Saskatchewan",59.266575,-105.833266,152
"Hall Beach","Canada","Nunavut",68.767467,-81.236083,654
"Lutselke","Canada","Northwest Territories",62.400053,-110.733329,102
"Hay River","Canada","Northwest Territories",60.849993,-115.700003,3900
"Doline","Canada","Northwest Territories",65.183346,-123.416664,525
"Paulatuk","Canada","Northwest Territories",69.383322,-123.983321,294
"Kapuskasing","Canada","Ontario",49.416685,-82.433325,9240
"Geraldton","Canada","Ontario",49.716641,-86.96664,1290
"Big Beaver House","Canada","Ontario",52.949984,-89.883284,10
"Port-Menier","Canada","Québec",49.822578,-64.347995,263
"Natashquan","Canada","Québec",50.191341,-61.810656,722
"Eastmain","Canada","Québec",52.233335,-78.516691,335
"Schefferville","Canada","Québec",54.8,-66.816656,471
"Salluit","Canada","Québec",62.182599,-75.659501,106
"Amos","Canada","Québec",48.566634,-78.116664,10516
"St-Augustin","Canada","Québec",51.24231,-58.646999,3961
"Rouyn-Noranda","Canada","Québec",48.250012,-79.033249,24602
"La Sarre","Canada","Québec",48.800005,-79.200034,7206
"Deer Lake","Canada","Newfoundland and Labrador",49.1744,-57.426919,4163
"La Scie","Canada","Newfoundland and Labrador",49.967013,-55.583,817
"Hopedale","Canada","Newfoundland and Labrador",55.44996,-60.216671,442
"Happy Valley - Goose Bay","Canada","Newfoundland and Labrador",53.299988,-60.299999,7572
"Port Hope Simpson","Canada","Newfoundland and Labrador",52.533291,-56.300011,197
"Oymyakon","Russia","Sakha (Yakutia)",63.421446,142.769768,500
"Shishmaref","United States","Alaska",66.256975,-166.071889,254
"Atka","United States","Alaska",52.19649,-174.200489,61
"Nikolski","United States","Alaska",52.938434,-168.867688,18
"Karluk","United States","Alaska",57.572286,-154.455027,96
"False Pass","United States","Alaska",54.851211,-163.415023,35
"Kivalina","United States","Alaska",67.731492,-164.485903,374
"Newhalen","United States","Alaska",59.720346,-154.897197,160
"Pilot Point","United States","Alaska",57.56456,-157.569127,68
"King Salmon","United States","Alaska",58.688703,-156.661378,292
"Quinhagak","United States","Alaska",59.749233,-161.915786,250
"Aniak","United States","Alaska",61.578708,-159.522186,501
"Kotlit","United States","Alaska",63.034588,-163.553283,1002
"Unalakleet","United States","Alaska",63.873426,-160.788052,741
"Koyuk","United States","Alaska",64.940269,-161.157472,254
"McGrath","United States","Alaska",62.956815,-155.595785,138
"Hughes","United States","Alaska",66.049184,-154.254988,78
"Ambler","United States","Alaska",67.086485,-157.851409,258
"Wales","United States","Alaska",65.609599,-168.087503,99
"Wasilla","United States","Alaska",61.581731,-149.439442,8521
"Circle","United States","Alaska",65.82589,-144.06052,100
"Tanacross","United States","Alaska",63.385703,-143.346403,136
"Wiseman","United States","Alaska",67.410471,-150.107489,14
"Sauðárkrókur","Iceland","Akrahreppur",65.746412,-19.638993,2682
"Ålesund","Kingdom of Norway","MOre og Romsdal",62.545419,6.388023,47772
"Steinkjer","Kingdom of Norway","Nord-Trøndelag",64.01706,11.500011,11274
"Asino","Russia","Tomsk",56.993122,86.162689,27070
"Strezhevoy","Russia","Tomsk",60.733152,77.577683,44784
"Mukhomornoye","Russia","Chukchi Autonomous Okrug",66.417069,173.333337,100
"Beringovskiy","Russia","Chukchi Autonomous Okrug",63.065465,179.306667,1861
"Bilibino","Russia","Chukchi Autonomous Okrug",68.050406,166.333299,5757
"Egvekinot","Russia","Chukchi Autonomous Okrug",66.322132,-179.183723,2248
"Nikel","Russia","Murmansk",69.412571,30.218817,15866
"Monchegorsk","Russia","Murmansk",67.929121,32.828735,49868
"Kirovsk","Russia","Murmansk",67.609089,33.668735,29605
"Volkhov","Russia","Leningrad",59.929093,32.338739,45673
"Tikhvin","Russia","Leningrad",59.644846,33.514378,62075
"Svetogorsk","Russia","Leningrad",61.101321,28.917656,30115
"Luga","Russia","Leningrad",58.736349,29.838995,40114
"Segezha","Russia","Karelia",63.754776,34.324303,33354
"Vichuga","Russia","Ivanovo",57.219129,41.928748,39071
"Sharya","Russia","Kostroma",58.379756,45.509356,35532
"Buy","Russia","Kostroma",58.484685,41.52438,26486
"Bezhetsk","Russia","Tver'",57.764729,36.689998,34736
"Sokol","Russia","Vologda",59.46478,40.114388,42174
"Cherepovets","Russia","Vologda",59.140433,37.909975,311850
