"sitename","means","country"
"ARM-NSA-Barrow",-0.0721282090914682,"USA"
"Bonanza Creek Fen",-0.076101378079314,"USA"
"Cambridge Bay, Victoria Island, wetland",-0.0891480954028397,"Canada"
"Chersky, control",-0.0840699237311521,"Russia"
"Chersky, drained",-0.0854683112076176,"Russia"
"Dark conifer site (ZE)",-0.0898310194660205,"Russia"
"Fyodorovskoye",-0.0737184237499433,"Russia"
"Fyodorovskoye dry spruce",-0.0803060444336275,"Russia"
"Imnavait, Alaska wet sedge tundra",-0.0770181360315456,"USA"
"Ivotuk",-0.0790884011565416,"USA"
"Kangiqsuallujjuaq",-0.0834225431554639,"Canada"
"Lompolojankka",-0.0810255381974642,"Finland"
"Polar Bear Fen",-0.0821140862833598,"Canada"
"Polar Bear Peat Plateau",-0.0796001053945206,"Canada"
"Samoylov, terrace",-0.0925960877232601,"Russia"
"Thermokarst Collapse Scar Bog, Interior Alaska",-0.0732490806631172,"USA"
"Tiksi",-0.0920229011716082,"Russia"
