"sitename","means","country"
"ARM-NSA-Barrow",-0.00463128431659302,"USA"
"Adventdalen",-0.0173468299486322,"Norway"
"Bayelva, Spitsbergen",-0.022469012775458,"Norway"
"Bonanza Creek Fen",-0.00500415139186394,"USA"
"Cambridge Bay, Victoria Island, wetland",-0.0247606309576171,"Canada"
"Chersky, Pleistocene Park",-0.0511992976755812,"Russia"
"Chersky, control",-0.0171340933232702,"Russia"
"Chersky, drained",-0.0186007350333159,"Russia"
"Dark conifer site (ZE)",-0.014853694162719,"Russia"
"Flakaliden",-0.000838455332573818,"Sweden"
"Fyodorovskoye",-0.00366000954047087,"Russia"
"Fyodorovskoye dry spruce",-0.0111367442366543,"Russia"
"Imnavait, Alaska heath tundra",-0.00947595885277962,"USA"
"Imnavait, Alaska tussock tundra",-0.00820864643049664,"USA"
"Imnavait, Alaska wet sedge tundra",-0.00949916863926222,"USA"
"Ivotuk",-0.0116783782880144,"USA"
"Kangiqsuallujjuaq",-0.0135787543212036,"Canada"
"Kilpisjaervi",-0.00481922439490995,"Finland"
"Kinoje Lake",-0.0251973898308557,"Canada"
"Lompolojankka",-0.0044527930654312,"Finland"
"Polar Bear Fen",-0.014385083944451,"Canada"
"Polar Bear Peat Plateau",-0.0121099637831174,"Canada"
"Qvidja",-0.00513966202608571,"Finland"
"Rosinedalsheden (control)",-0.000598845764211948,"Sweden"
"Rosinedalsheden (fertilized)",-0.00199937112187792,"Sweden"
"Samoylov, terrace",-0.0264459910154364,"Russia"
"Sodankyla",-0.0067847510868239,"Finland"
"Svartberget tall tower 85m",-0.000782387167326654,"Sweden"
"Thermokarst Collapse Scar Bog, Interior Alaska",-0.00298716029797586,"USA"
"Tiksi",-0.025309560518821,"Russia"
"Udleg Forest Research Station",-0.00361353169339,"Mongolia"
"ZOTTO-Bog EC",-0.0208924470940932,"Russia"
"ZOTTO-Forest EC",-0.0334492517161976,"Russia"
"Zackenberg, Fen",-0.0222436352935132,"Greenland"
