"sitename","means","country"
"ARM-NSA-Barrow",-0.00383168420385142,"USA"
"Adventdalen",-0.00747315267676832,"Norway"
"Aemmaessuo",-0.00125048450801079,"Finland"
"Agali Forest Station",-0.00242596269979103,"Estonia"
"Anaktuvuk River (moderate burn)",-0.00139210263893293,"USA"
"Anaktuvuk River (severe burn)",-0.000936771835095152,"USA"
"Anaktuvuk River (unburned)",-0.00204696301196478,"USA"
"Attawapiskat River Bog",-0.0120339022534657,"Canada"
"Attawapiskat River Fen",-0.0116774594475592,"Canada"
"Bayelva, Spitsbergen",-0.0117151191382375,"Norway"
"Bonanza Creek Black Spruce",-0.00299626643944569,"USA"
"Bonanza Creek Fen",-0.00484287045478889,"USA"
"Bonanza Creek Old Thermokarst Bog",-0.00360660408413602,"USA"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0215988181272935,"USA"
"Bonanza Creek, 1999 Burn site near Delta Junction",-0.00263740587295619,"USA"
"Cambridge Bay, Victoria Island, wetland",-0.0126478939126847,"Canada"
"Cape Bounty",-0.0337064316731693,"Canada"
"Chersky, Pleistocene Park",-0.0283634301983121,"Russia"
"Chersky, control",-0.00736402101336668,"Russia"
"Chersky, drained",-0.00803329277678752,"Russia"
"Chokurdakh/Kytalyk",-0.00629413832064902,"Russia"
"Daring Lake",-0.00960020341382759,"Canada"
"Daring Lake (Fen)",-0.00867283405846025,"Canada"
"Daring Lake (dwarf shrub)",-0.0153314520574429,"Canada"
"Daring Lake (low shrub)",-0.0235951878328104,"Canada"
"Daring Lake (mixed tundra)",-0.00867283405846025,"Canada"
"Dark conifer site (ZE)",-0.00993251778187732,"Russia"
"Faejemyr",-0.00179084285373871,"Sweden"
"Finse",-0.00423953195097256,"Norway"
"Finse Mobile",-0.00423953195097256,"Norway"
"Flakaliden",-0.000658314588384324,"Sweden"
"Fyodorovskoye",-0.000420052268511043,"Russia"
"Fyodorovskoye dry spruce",-0.00579862382961407,"Russia"
"Groundhog River",-0.0136525297499942,"Canada"
"Halssiaapa",-0.00290313601497471,"Finland"
"Hurdal",-0.00325558856070824,"Norway"
"Hyltemossa",-0.0022734650739355,"Sweden"
"Imnavait, Alaska heath tundra",-0.00378696659568483,"USA"
"Imnavait, Alaska tussock tundra",-0.00373251432960306,"USA"
"Imnavait, Alaska wet sedge tundra",-0.0048480330816598,"USA"
"Ivotuk",-0.00646678722100391,"USA"
"Kangiqsuallujjuaq",-0.00796264609617288,"Canada"
"Kilpisjaervi",-0.00193596972935036,"Finland"
"Kinoje Lake",-0.014890221410805,"Canada"
"Knottasen",-0.00196113872523521,"Sweden"
"Kumpula",-0.000870613047302312,"Finland"
"La Biche River",-0.00907561516771925,"Canada"
"Lompolojankka",-0.00308596591945448,"Finland"
"Mader",-0.00556865934026207,"Finland"
"Montmorency Forest juvenile",-0.000183762462727993,"Canada"
"Montmorency Forest sapling",-0.000268627865360996,"Canada"
"Mukhrino",-0.014290397819927,"Russia"
"NEON Caribou Creek - Poker Flats Watershed (BONA)",-0.00167715143632241,"USA"
"NEON Toolik (TOOL)",-0.00285433166165464,"USA"
"Oulanka, Puukkosuo fen",-0.00746889391249476,"Finland"
"Polar Bear Fen",-0.00890946941374987,"Canada"
"Polar Bear Peat Plateau",-0.00722645966371085,"Canada"
"Qvidja",-0.00167127270427415,"Finland"
"Robinsons_Natural_Bog_NL",-0.00339750618418298,"Canada"
"Robinsons_Peatland_Pasture_NL",-0.00355502024311187,"Canada"
"Rosinedal-3",-0.00188729324614392,"Sweden"
"Rosinedalsheden (control)",-0.000602135270078793,"Sweden"
"Rosinedalsheden (fertilized)",-0.00171037471289641,"Sweden"
"Sammaltunturi",-0.00303799701948127,"Finland"
"Samoylov, terrace",-0.0178717835425741,"Russia"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",-0.000301564724057091,"Canada"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",-0.000618940040112377,"Canada"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",-0.000303556231570048,"Canada"
"Saskatchewan - Western Boreal, Mature Black Spruce",-0.00753225737731172,"Canada"
"Saskatchewan - Western Boreal, Mature Jack Pine",-0.000902016452439927,"Canada"
"Skyttorp, young",-0.00186952908789969,"Sweden"
"Sodankyla",-0.00408304163305777,"Finland"
"Southern Old Aspen (BERMS)",-0.016034345166173,"Canada"
"Spasskaya Pad (experimental forest)",-0.0298723525760408,"Russia"
"Spasskaya Pad, Larch",-0.0245385038142256,"Russia"
"Stordalen Grassland Mire",-0.0018456898587712,"Sweden"
"Svartberget tall tower 60m",-0.000792933003235605,"Sweden"
"Svartberget tall tower 85m",-0.000792933003235605,"Sweden"
"Thermokarst Collapse Scar Bog, Interior Alaska",-0.00299626643944569,"USA"
"Tiksi",-0.0156898262150681,"Russia"
"Trail Valley Creek (lakeside)",-0.000689071280550456,"Canada"
"Udleg Forest Research Station",-0.00333756848684747,"Mongolia"
"Yakutsk-Pine",-0.0276535524956698,"Russia"
"ZOTTO-Bog EC",-0.0126916901023749,"Russia"
"ZOTTO-Fen EC",-0.0135597752430282,"Russia"
"ZOTTO-Forest EC",-0.0173662190136072,"Russia"
"Zotino East, Birch Stand",-0.00639860104886137,"Russia"
"Zotino East, Mixed Stand",-0.00924148764725256,"Russia"
"Zotino East, Pole Stand",-0.0114237536640712,"Russia"
