"sitename","means","country","stats"
"Abisko, main tower",-0.00177428937114724,"Sweden","existing"
"Aemmaessuo",-0.000900685301206934,"Finland","existing"
"Agali Forest Station",-0.00207056653155957,"Estonia","existing"
"Agapa",-0.000959757526739706,"Russia","new"
"Akureyri",-0.000900963327606939,"Iceland","new"
"Alapayevsk",-0.00147305704994583,"Russia","new"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.021151230211143,"Canada","existing"
"Alberta - Western Peatland - Rich Fen  (Carex)",-0.0165771026822821,"Canada","existing"
"Aldan",-0.0199410765893858,"Russia","new"
"Alert",-0.0251963966142516,"Canada","new"
"Alkkia Scots pine forest",-0.00113872845550024,"Finland","existing"
"Allakaket",-0.0156053764938516,"United States","new"
"Ambarchik",-0.0239691541854245,"Russia","new"
"Ambler",-0.000674432897383859,"United States","new"
"Amderma",-0.00407432412315763,"Russia","new"
"Amos",-0.00369250567637011,"Canada","new"
"Anaktuvuk River (moderate burn)",-0.00125508664004983,"USA","existing"
"Anaktuvuk River (severe burn)",-0.00105864070572492,"USA","existing"
"Anaktuvuk River (unburned)",-0.00164664076894078,"USA","existing"
"Andoya",-0.00757749070058013,"Norway","existing"
"Aniak",-0.000393738936431702,"United States","new"
"Apatity",-0.00180781767950594,"Russia","new"
"Archangel",-0.00254856750757689,"Russia","new"
"Arctic Bay",-0.0324244963375223,"Canada","new"
"Arctic DTU Research Station Sisimiut",-0.00492930016918895,"Greenland","new"
"Argentia",-0.00785646882701398,"Canada","new"
"Artemovsk",-0.0250840718857277,"Russia","new"
"Artemovskiy",-0.0017800014116476,"Russia","new"
"Asbest",-0.00608024571078702,"Russia","new"
"Asino",-0.00170696386573008,"Russia","new"
"Athabasca, poor fen",-0.021151230211143,"Canada","existing"
"Athabasca, rich fen",-0.0165771026822821,"Canada","existing"
"Atka",-0.00175042487753933,"United States","new"
"Attawapiskat",-0.00251892504711355,"Canada","new"
"Attawapiskat River Bog",-0.00580693491540772,"Canada","existing"
"Attawapiskat River Fen",-0.00498786408382737,"Canada","existing"
"Avachinsky Volcano Field Station",-0.00236967606187636,"Russia","new"
"Ayan",-0.00768243954400882,"Russia","new"
"Bagdarin",-0.0131050615639721,"Russia","new"
"Bakal",-0.0112295103724854,"Russia","new"
"Baker Lake",-0.0163993879676294,"Canada","new"
"Batagay",-0.00239106964060726,"Russia","new"
