"sitename","means","country","stats"
"ARM-AMF3-Oliktok",-0.00508082762182242,"USA","existing"
"Abisko, main tower",-0.00492495706419181,"Sweden","existing"
"Adventdalen",-0.0161281003275078,"Norway","existing"
"Aemmaessuo",-0.00401812609021217,"Finland","existing"
"Agali Forest Station",-0.00394515988536868,"Estonia","existing"
"Agapa",-0.00122236942947558,"Russia","new"
"Akureyri",-0.00205776140639331,"Iceland","new"
"Alapayevsk",-0.00181459313319963,"Russia","new"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.0325391109981783,"Canada","existing"
"Alberta - Western Peatland - Rich Fen  (Carex)",-0.0233284935642327,"Canada","existing"
"Aldan",-0.024738849676647,"Russia","new"
"Alert",-0.0296182505453315,"Canada","new"
"Alkkia Scots pine forest",-0.0046723176567734,"Finland","existing"
"Allakaket",-0.017941448871922,"United States","new"
"Ambarchik",-0.0306610697450992,"Russia","new"
"Ambler",-0.0008026434164535,"United States","new"
"Amderma",-0.0168369960849952,"Russia","new"
"Amos",-0.00791284935293388,"Canada","new"
"Anaktuvuk River (moderate burn)",-0.0012601632755561,"USA","existing"
"Anaktuvuk River (severe burn)",-0.0010636463017648,"USA","existing"
"Anaktuvuk River (unburned)",-0.00165017915652826,"USA","existing"
"Andoya",-0.0111318600826058,"Norway","existing"
"Aniak",-0.000492951122577387,"United States","new"
"Apatity",-0.00633842535601019,"Russia","new"
"Archangel",-0.00373145099822424,"Russia","new"
"Arctic Bay",-0.0388860854258502,"Canada","new"
"Arctic DTU Research Station Sisimiut",-0.0180840349931794,"Greenland","new"
"Argentia",-0.0124229229803954,"Canada","new"
"Artemovsk",-0.0316573409850506,"Russia","new"
"Artemovskiy",-0.00185106558141731,"Russia","new"
"Asbest",-0.00702860332324446,"Russia","new"
"Asino",-0.00184127964268268,"Russia","new"
"Athabasca, poor fen",-0.0325391109981783,"Canada","existing"
"Athabasca, rich fen",-0.0233284935642327,"Canada","existing"
"Atka",-0.00242900462648061,"United States","new"
"Attawapiskat",-0.00545580169328095,"Canada","new"
"Attawapiskat River Bog",-0.0152242645197401,"Canada","existing"
"Attawapiskat River Fen",-0.014243442982563,"Canada","existing"
"Avachinsky Volcano Field Station",-0.00738489653629566,"Russia","new"
"Ayan",-0.0193128425159999,"Russia","new"
"Bagdarin",-0.0141121704368194,"Russia","new"
"Bakal",-0.0137232033723516,"Russia","new"
"Baker Lake",-0.0164825743438158,"Canada","new"
"Batagay",-0.00239650961394638,"Russia","new"
"Bayelva, Spitsbergen",-0.0216971078237073,"Norway","existing"
"Belomorsk",-0.00556579993155924,"Russia","new"
"Berens River",-0.0114562845346844,"Canada","new"
"Berezniki",-0.00425573974063127,"Russia","new"
"Beringovskiy",-0.00674735175593618,"Russia","new"
"Bethel",-0.00156588100869187,"USA","existing"
"Bezhetsk",-0.010930813217954,"Russia","new"
"Big Beaver House",-0.0388101845534066,"Canada","new"
"Bilibino",-0.0348447148437662,"Russia","new"
"Biryusinsk",-0.00296368406615068,"Russia","new"
"Bodaybo",-0.0391805343604822,"Russia","new"
"Bol'sheretsk",-0.00502152875815208,"Russia","new"
"Bonanza Creek Black Spruce",-4.03021539569826e-05,"USA","existing"
"Bonanza Creek Old Thermokarst Bog",-0.000620544542494107,"USA","existing"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0425915476503237,"USA","existing"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0268159784595771,"USA","existing"
"Bonanza Creek, 1999 Burn site near Delta Junction",-0.0101213965226413,"USA","existing"
"Borgarnes",-0.00755925063118195,"Iceland","new"
"Bouleau Peatland",-0.00903067977461212,"Canada","existing"
"Boyarka",-0.0182169147873825,"Russia","new"
"Bratsk",-0.00127240434845705,"Russia","new"
