"sitename","means","country","rank","stats"
"Abisko, main tower",-0.00155499535758641,"Sweden",498,"existing"
"Adventdalen",-0.014404018984643,"Norway",146,"existing"
"Agapa",-0.00120768403763624,"Russia",530,"new"
"Akureyri",-0.0010348933903443,"Iceland",556,"new"
"Alapayevsk",-0.00165946041544551,"Russia",489,"new"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.0285897503551834,"Canada",45.5,"existing"
"Alberta - Western Peatland - Rich Fen  (Carex)",1461.53104727512,"Canada",606,"existing"
"Aldan",-0.0178006267924732,"Russia",107,"new"
"Alert",-0.022545538215264,"Canada",74,"new"
"Alkkia Scots pine forest",-0.00197318563201929,"Finland",458,"existing"
"Allakaket",-0.0164200627789834,"United States",121,"new"
"Ambarchik",-0.0234763581488906,"Russia",67,"new"
"Ambler",-0.000729541549786385,"United States",576,"new"
"Amderma",-0.0148973632874017,"Russia",136,"new"
"Amos",-0.00640515947261576,"Canada",262,"new"
"Anaktuvuk River (moderate burn)",-0.0011646514063036,"USA",539,"existing"
"Anaktuvuk River (severe burn)",-0.000989235340744898,"USA",558,"existing"
"Anaktuvuk River (unburned)",-0.00142404042260083,"USA",510,"existing"
"Aniak",-0.000471864692146463,"United States",592,"new"
"Apatity",-0.00235810028403158,"Russia",432,"new"
"Archangel",-0.0028277768316968,"Russia",400,"new"
"Arctic Bay",-0.0307644500408302,"Canada",35,"new"
"Arctic DTU Research Station Sisimiut",-0.0158897292202521,"Greenland",125,"new"
"Argentia",-0.00873693110998394,"Canada",219,"new"
"Artemovsk",-0.0297523472702711,"Russia",40,"new"
"Artemovskiy",-0.00176369557182257,"Russia",474,"new"
"Asbest",-0.00668779925552645,"Russia",257,"new"
"Asino",-0.00175110162494214,"Russia",477,"new"
"Athabasca, poor fen",-0.0285897503551834,"Canada",45.5,"existing"
"Athabasca, rich fen",-0.0212906886516244,"Canada",82,"existing"
"Atka",-0.00139119585302641,"United States",514,"new"
"Attawapiskat",-0.00535669089922729,"Canada",289,"new"
"Avachinsky Volcano Field Station",-0.00325646873773527,"Russia",373,"new"
"Ayan",-0.0135869787660797,"Russia",159,"new"
"Bagdarin",-0.0141029749829488,"Russia",151,"new"
"Bakal",-0.0126315444335404,"Russia",168,"new"
"Baker Lake",-0.0137836444522392,"Canada",155,"new"
"Batagay",-0.002324868660659,"Russia",433,"new"
"Bayelva, Spitsbergen",-0.0196044873940573,"Norway",92,"existing"
"Belomorsk",-0.00198016057826776,"Russia",455,"new"
"Berens River",-0.0103557583666401,"Canada",194,"new"
"Berezniki",-0.00340967021620424,"Russia",364,"new"
"Beringovskiy",-0.0052027388367358,"Russia",291,"new"
"Bezhetsk",-0.0100563846300497,"Russia",202,"new"
"Big Beaver House",-0.0302735463349947,"Canada",38,"new"
"Bilibino",-0.0319257842012093,"Russia",29,"new"
"Biryusinsk",-0.00287165969976402,"Russia",397,"new"
"Bodaybo",-0.032758829308125,"Russia",25,"new"
"Bol'sheretsk",-0.00187574741642422,"Russia",463,"new"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0356406069041647,"USA",18,"existing"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0262205112343178,"USA",54,"existing"
"Bonanza Creek, 1999 Burn site near Delta Junction",-0.00952871617015247,"USA",211,"existing"
"Borgarnes",-0.00425150364373691,"Iceland",331,"new"
"Boyarka",-0.0168064342470229,"Russia",117,"new"
"Bratsk",-0.00121324869474518,"Russia",529,"new"
"Brochet",-0.0203549216864735,"Canada",86,"new"
"Buchans",-0.00556197471242803,"Canada",285,"new"
"Bugrino",-0.00253593977294904,"Russia",415,"new"
"Bukachacha",-0.00718980268760916,"Russia",246,"new"
"Burwash Landing",-0.0134871643065335,"Canada",162,"new"
"Buy",-0.00349092278299838,"Russia",358,"new"
"CEN Boniface River Field Station ",-0.00487350975541961,"Canada ",307,"new"
"CEN Clearwater Lake Research Station",-0.0111486876755838,"Canada ",185,"new"
