"sitename","means","country","type"
"ARM-AMF3-Oliktok",-0.00347986954189215,"United States","inactive__All year"
"Agapa",-0.000939725572002311,"Russia","NA__NA"
"Akureyri",-0.000260913097559471,"Iceland","NA__NA"
"Alapayevsk",-0.00107006952802903,"Russia","NA__NA"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.006163622977519,"Canada","inactive__Summer"
"Alberta - Western Peatland - Rich Fen  (Carex)",-0.00540098092914986,"Canada","inactive__Summer"
"Aldan",-0.00572496051790696,"Russia","NA__NA"
"Alert",-0.00666614075180995,"Canada","NA__NA"
"Alkkia Scots pine forest",-0.000491646732389351,"Finland","inactive__Summer"
"Allakaket",-0.00518060474068688,"United States","NA__NA"
"Ambarchik",-0.00927472754630221,"Russia","NA__NA"
"Ambler",-0.000352573938376097,"United States","NA__NA"
"Amderma",-0.00247312817214651,"Russia","NA__NA"
"Amos",-0.001129282595637,"Canada","NA__NA"
"Andoya",-0.0020584126080039,"Norway","inactive__Summer"
"Aniak",-0.000303482541888437,"United States","NA__NA"
"Apatity",-0.000581019663450679,"Russia","NA__NA"
"Archangel",-0.00177641494584794,"Russia","NA__NA"
"Arctic Bay",-0.00962381490948221,"Canada","NA__NA"
"Arctic DTU Research Station Sisimiut",-0.00247867000354315,"Greenland","NA__NA"
"Argentia",-0.0026679434376544,"Canada","NA__NA"
"Artemovsk",-0.011030327418417,"Russia","NA__NA"
"Artemovskiy",-0.00149270205961273,"Russia","NA__NA"
"Asbest",-0.0041967865945569,"Russia","NA__NA"
"Asino",-0.00138336474004545,"Russia","NA__NA"
"Athabasca, poor fen",-0.006163622977519,"Canada","inactive__Summer"
"Athabasca, rich fen",-0.00540098092914986,"Canada","inactive__Summer"
"Atka",-0.000566939956818961,"United States","NA__NA"
"Attawapiskat",-0.000698857196094329,"Canada","NA__NA"
"Avachinsky Volcano Field Station",-0.000842613766358395,"Russia","NA__NA"
"Ayan",-0.00299585303520814,"Russia","NA__NA"
"Bagdarin",-0.0067974246291708,"Russia","NA__NA"
"Bakal",-0.00739877775045471,"Russia","NA__NA"
"Baker Lake",-0.010264509084687,"Canada","NA__NA"
"Batagay",-0.00029411967721363,"Russia","NA__NA"
"Belomorsk",-0.00136480725315385,"Russia","NA__NA"
"Berens River",-0.00140652852962322,"Canada","NA__NA"
"Berezniki",-0.00138320222182293,"Russia","NA__NA"
"Beringovskiy",-0.0017304249199801,"Russia","NA__NA"
"Bethel",-0.000995126023705216,"United States","inactive__Summer"
"Bezhetsk",-0.00760766047011843,"Russia","NA__NA"
"Big Beaver House",-0.00975611073132506,"Canada","NA__NA"
"Bilibino",-0.0127176143498407,"Russia","NA__NA"
"Biryusinsk",-0.00179760966020557,"Russia","NA__NA"
"Bodaybo",-0.0119179231340269,"Russia","NA__NA"
"Bol'sheretsk",-0.00124539383871199,"Russia","NA__NA"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.00668931967239314,"United States","inactive__Summer"
"Borgarnes",-0.00157534394518675,"Iceland","NA__NA"
"Bouleau Peatland",-0.000776261745312369,"Canada","inactive__All year"
"Boyarka",-0.00656767055486004,"Russia","NA__NA"
"Bratsk",-0.000671925093973134,"Russia","NA__NA"
"Brochet",-0.00540091115403247,"Canada","NA__NA"
"Buchans",-0.00118498831632105,"Canada","NA__NA"
"Bugrino",-0.000825034126251356,"Russia","NA__NA"
"Bukachacha",-0.003000011951944,"Russia","NA__NA"
"Burwash Landing",-0.00233681154347522,"Canada","NA__NA"
"Buy",-0.00268787622081416,"Russia","NA__NA"
"CEN Boniface River Field Station ",-0.00291307735624926,"Canada","NA__NA"
"CEN Clearwater Lake Research Station",-0.00404774548831094,"Canada","NA__NA"
"CEN Salluit Research Station",-0.00335743778811455,"Canada","NA__NA"
"CEN Whapmagoostui-Kuujjuarapik Research Station",-0.00448333204134053,"Canada","NA__NA"
"Cape Dorset",-0.00911741475708576,"Canada","NA__NA"
"Cascade Ridge",-0.0012891595150452,"United States","inactive__All year"
"Cat Lake",-0.00486850061238405,"Canada","NA__NA"
"Central Marsh",-0.000405635106090585,"United States","inactive__All year"
"Chegdomyn",-0.0158134009490507,"Russia","NA__NA"
"Chelyuskin",-0.00368626998617637,"Russia","NA__NA"
"Cherepovets",-0.000145481153597998,"Russia","NA__NA"
"Chernyshevskiy",-0.000402073230654116,"Russia","NA__NA"
"Chevery",-0.000531250430802132,"Canada","NA__NA"
"Chicoutimi",-0.000305401616562076,"Canada","NA__NA"
"China Iceland Arctic  Observatory  CIAO",-0.000753175852769641,"Iceland","NA__NA"
"Chita",-0.000820831455286365,"Russia","NA__NA"
"Chukotka",-0.000938859820140865,"Russia","inactive__Summer"
"Chumikan",-0.00269796600666255,"Russia","NA__NA"
"Churchill Falls",-0.00540057016860357,"Canada","NA__NA"
"Chusovoy",-0.000434457245293312,"Russia","NA__NA"
"Circle",-0.00197685244418861,"United States","NA__NA"
"Cochrane",-0.00867562763072392,"Canada","NA__NA"
"Cold Bay",-0.00184023741786268,"United States","NA__NA"
"Council (NGEE Arctic)",-0.000797656880349929,"United States","inactive__Summer"
"DMI Geophysical Observatory Qaanaaq",-0.00549878309137937,"Greenland","NA__NA"
"Dasan Station site",-0.00218584293516952,"Norway","inactive__All year"
"Dawson Creek",-0.00177407315804451,"Canada","NA__NA"
"Dease Lake",-0.00906283026392844,"Canada","NA__NA"
"Deer Lake",-0.000409813698303404,"Canada","NA__NA"
"Dikson",-0.00102377709511919,"Russia","NA__NA"
"Dillingham",-0.00336116479376112,"United States","NA__NA"
"Dolbeau",-0.00289900696310999,"Canada","NA__NA"
"Doline",-0.00326801423651255,"Canada","NA__NA"
"Dolinsk",-0.00685269205941636,"Russia","NA__NA"
"Dudinka",-0.000862781621975002,"Russia","NA__NA"
"Eagle",-0.00114200716189664,"United States","NA__NA"
"Eastern Old Black Spruce (EOBS)",-0.00631842774393579,"Canada","inactive__Summer"
"Eastmain",-0.00322681790987044,"Canada","NA__NA"
"Egvekinot",-0.00543788233901889,"Russia","NA__NA"
"Eldikan",-0.00211223060079087,"Russia","NA__NA"
"Elgeeii",-0.00205813201365248,"Russia","inactive__Summer"
"Emmonak",-0.0014332760013628,"United States","NA__NA"
"Ennadai",-0.0132326677923616,"Canada","NA__NA"
"Enurmino",-0.00223179355412351,"Russia","NA__NA"
"Evensk",-0.00217421344976545,"Russia","NA__NA"
"False Pass",-0.00107888621506579,"United States","NA__NA"
"Fish Island",-0.000205490785111585,"Canada","inactive__Summer"
"Flashline Mars Arctic Research Station",-0.00507841496743061,"Canada","NA__NA"
"Flin Flon",-0.00101682481365879,"Canada","NA__NA"
"Fort Chipewyan",-0.00137297091759936,"Canada","NA__NA"
"Fort Good Hope",-0.0117826862752762,"Canada","NA__NA"
"Fort McMurray",-0.000759695567253565,"Canada","NA__NA"
"Fort McPherson",-0.00186390482194549,"Canada","NA__NA"
