"sitename","means","country","type"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.00413784715730097,"Canada","inactive__Summer"
"Aldan",-0.00552951529459363,"Russia","NA__NA"
"Alert",-0.00298403881524867,"Canada","NA__NA"
"Ambarchik",-0.00555674475330183,"Russia","NA__NA"
"Arctic Bay",-0.00391582854642734,"Canada","NA__NA"
"Artemovsk",-0.00700902592484417,"Russia","NA__NA"
"Athabasca, poor fen",-0.00413784715730097,"Canada","inactive__Summer"
"Bagdarin",-0.00381732455291135,"Russia","NA__NA"
"Bakal",-0.00550692042672955,"Russia","NA__NA"
"Baker Lake",-0.00966092068514632,"Canada","NA__NA"
"Bezhetsk",-0.00582913543144609,"Russia","NA__NA"
"Big Beaver House",-0.00858119481092295,"Canada","NA__NA"
"Bilibino",-0.00389242965025582,"Russia","NA__NA"
"Bodaybo",-0.0080397551337057,"Russia","NA__NA"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0059902578396953,"USA","inactive__Summer"
"Boyarka",-0.00291160813279947,"Russia","NA__NA"
"Cape Dorset",-0.00585028807100338,"Canada","NA__NA"
"Cochrane",-0.00511451538786654,"Canada","NA__NA"
"DMI Geophysical Observatory Qaanaaq",-0.00394995618629119,"Greenland/Denmark","NA__NA"
"Dease Lake",-0.00648781324389689,"Canada","NA__NA"
"Dolinsk",-0.00618928834638711,"Russia","NA__NA"
"Eastern Old Black Spruce (EOBS)",-0.00631826559179,"Canada","inactive__Summer"
"Ennadai",-0.00997300287498934,"Canada","NA__NA"
"Fort Good Hope",-0.00777742866899405,"Canada","NA__NA"
"Fort Nelson",-0.00390787337699441,"Canada","NA__NA"
"Govorovo",-0.00908903175404956,"Russia","NA__NA"
"Grise Fiord",-0.0062881700216291,"Canada","NA__NA"
"Gubakha",-0.00818580756308438,"Russia","NA__NA"
"Hearst",-0.0110867768474498,"Canada","NA__NA"
"Holman",-0.00444656374750308,"Canada","NA__NA"
"Island Lake",-0.00663436537535772,"Canada","NA__NA"
"Ivugivik",-0.00593773725176429,"Canada","NA__NA"
"Kavache",-0.00681622710768556,"Russia","NA__NA"
"Khakhar",-0.00433741939668842,"Russia","NA__NA"
"Khorgo",-0.00619495815078679,"Russia","NA__NA"
"Kimmirut",-0.00472820780550879,"Canada","NA__NA"
"Kirs",-0.00982282780099638,"Russia","NA__NA"
"Kizel",-0.00639747665736319,"Russia","NA__NA"
"Klyuchi",-0.00704047647791627,"Russia","NA__NA"
"Kogalym",-0.00622786358896323,"Russia","NA__NA"
"Kudymkar",-0.00441579507197012,"Russia","NA__NA"
"Maaninka",-0.00501482289197551,"Finland","inactive__Summer"
"Megion",-0.00659905793659963,"Russia","NA__NA"
"Menkere",-0.0081433085666862,"Russia","NA__NA"
"Montana",-0.00833920593104289,"United States","NA__NA"
"Natara",-0.00683172409597213,"Russia","NA__NA"
"Neryungri",-0.00683435323126172,"Russia","NA__NA"
"Nizhneyansk",-0.00683749082487886,"Russia","NA__NA"
"Nogliki",-0.00570448290288081,"Russia","NA__NA"
"Nord",-0.00589774152366756,"Denmark","NA__NA"
"Noyabrsk",-0.00686929875860678,"Russia","NA__NA"
"Nyukzha",-0.00327314207973786,"Russia","NA__NA"
"Olenek",-0.00380926739912498,"Russia","NA__NA"
"Omchak",-0.00323970883494581,"Russia","NA__NA"
"Omolon",-0.00648967854083833,"Russia","NA__NA"
"Omsukchan",-0.0117923060840373,"Russia","NA__NA"
"Onega",-0.00526946096734638,"Russia","NA__NA"
"Oymyakon",-0.00494257956065291,"Russia","NA__NA"
"Paulatuk",-0.00481782563300013,"Canada","NA__NA"
"Poronaysk",-0.00686717454791997,"Russia","NA__NA"
"Put Lenina",-0.0043640014436197,"Russia","NA__NA"
