"sitename","means","country","type","stats"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.0211506442099921,"Canada","inactive__Summer","existing"
"Alberta - Western Peatland - Rich Fen  (Carex)",-0.0165771026524039,"Canada","inactive__Summer","existing"
"Aldan",-0.0148436639036235,"Russia","NA__NA","new"
"Alert",-0.0251963965843726,"Canada","NA__NA","new"
"Allakaket",-0.00787397825820246,"United States","NA__NA","new"
"Ambarchik",-0.0239501437106585,"Russia","NA__NA","new"
"Arctic Bay",-0.0324239779827801,"Canada","NA__NA","new"
"Artemovsk",-0.025084071855849,"Russia","NA__NA","new"
"Athabasca, poor fen",-0.0211506442099921,"Canada","inactive__Summer","existing"
"Athabasca, rich fen",-0.0165771026524039,"Canada","inactive__Summer","existing"
"Baker Lake",-0.0156052708794338,"Canada","NA__NA","new"
"Big Beaver House",-0.0212862740964012,"Canada","NA__NA","new"
"Bilibino",-0.0162372581150849,"Russia","NA__NA","new"
"Bodaybo",-0.0196483032556535,"Russia","NA__NA","new"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0211826010438477,"USA","inactive__Summer","existing"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0226832720093503,"USA","active__Summer","existing"
"Boyarka",-0.00821242514003038,"Russia","NA__NA","new"
"Brochet",-0.0161779477240975,"Canada","NA__NA","new"
"Cape Bounty",-0.0357602358333229,"Canada","active__Summer","existing"
"Cape Dorset",-0.0221334453102247,"Canada","NA__NA","new"
"Chegdomyn",-0.0288337030967427,"Russia","NA__NA","new"
"Cochrane",-0.0189846925375443,"Canada","NA__NA","new"
"DMI Geophysical Observatory Qaanaaq",-0.0154721483790332,"Greenland/Denmark","NA__NA","new"
"Daring Lake (dwarf shrub)",-0.0119216413081571,"Canada","active__Summer","existing"
"Daring Lake (low shrub)",-0.0180651377095416,"Canada","active__Summer","existing"
"Dease Lake",-0.0214340403005853,"Canada","NA__NA","new"
"Ennadai",-0.0273275212277434,"Canada","NA__NA","new"
"Flashline Mars Arctic Research Station",-0.0159877473534687,"Canada","NA__NA","new"
"Fort Good Hope",-0.020354756039228,"Canada","NA__NA","new"
"Fort Nelson",-0.0241904975067835,"Canada","NA__NA","new"
"Govorovo",-0.0354714424394067,"Russia","NA__NA","new"
"Grise Fiord",-0.0295299203213294,"Canada","NA__NA","new"
"Gubakha",-0.0146016318341476,"Russia","NA__NA","new"
"Hearst",-0.0257026235005089,"Canada","NA__NA","new"
"Holman",-0.0320525985151266,"Canada","NA__NA","new"
"Igloolik Research Center ",-0.0313303493030886,"Nunavut/Canada","NA__NA","new"
"Island Lake",-0.0248633698780982,"Canada","NA__NA","new"
"Ivugivik",-0.0175457128052655,"Canada","NA__NA","new"
"Kavache",-0.0275298041704186,"Russia","NA__NA","new"
"Khakhar",-0.0159938839126339,"Russia","NA__NA","new"
"Kirs",-0.0216154300791974,"Russia","NA__NA","new"
"Krasnoturinsk",-0.0301758027428231,"Russia","NA__NA","new"
"Matagami",-0.0170906249033419,"Canada","NA__NA","new"
"Montana",-0.0149242930648264,"United States","NA__NA","new"
"NEON Delta Junction (DEJU)",-0.0193873487386945,"USA","active__Summer","existing"
"Natara",-0.0293926761370547,"Russia","NA__NA","new"
"Naujaat",-0.0351941413839432,"Canada","NA__NA","new"
"Nelegel",-0.0106224818974905,"Russia","inactive__Summer","existing"
"Neleger Burnt Forest",-0.0105796669703793,"Russia","inactive__Summer","existing"
"Neleger Cutover",-0.0111353225886886,"Russia","inactive__Summer","existing"
