"sitename","means","country","stats","type"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.0140826472171103,"Canada","existing","inactive__Summer"
"Alberta - Western Peatland - Rich Fen  (Carex)",-0.010233856058331,"Canada","existing","inactive__Summer"
"Aldan",-0.0142038727200259,"Russia","new","NA__NA"
"Alert",-0.0157964077881834,"Canada","new","NA__NA"
"Allakaket",-0.00681366350190889,"United States","new","NA__NA"
"Ambarchik",-0.01191868349674,"Russia","new","NA__NA"
"Arctic Bay",-0.0191017018486283,"Canada","new","NA__NA"
"Artemovsk",-0.0143122353335461,"Russia","new","NA__NA"
"Athabasca, poor fen",-0.0140826472171103,"Canada","existing","inactive__Summer"
"Athabasca, rich fen",-0.010233856058331,"Canada","existing","inactive__Summer"
"Baker Lake",-0.0104499168085474,"Canada","new","NA__NA"
"Big Beaver House",-0.0167214682889784,"Canada","new","NA__NA"
"Bilibino",-0.00556987901642947,"Russia","new","NA__NA"
"Bodaybo",-0.0183645142660085,"Russia","new","NA__NA"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0197428470661122,"USA","existing","inactive__Summer"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0160308965343357,"USA","existing","active__Summer"
"Boyarka",-0.00404380746207515,"Russia","new","NA__NA"
"Brochet",-0.0158453652461682,"Canada","new","NA__NA"
"Cape Dorset",-0.014480682202516,"Canada","new","NA__NA"
"Chegdomyn",-0.026560886950419,"Russia","new","NA__NA"
"Cochrane",-0.0109419511691067,"Canada","new","NA__NA"
"DMI Geophysical Observatory Qaanaaq",-0.0114705709281726,"Greenland/Denmark","new","NA__NA"
"Daring Lake (dwarf shrub)",-0.011018284948641,"Canada","existing","active__Summer"
"Daring Lake (low shrub)",-0.016032279091837,"Canada","existing","active__Summer"
"Dease Lake",-0.0151159890597615,"Canada","new","NA__NA"
"Ennadai",-0.022131330153432,"Canada","new","NA__NA"
"Flashline Mars Arctic Research Station",-0.0120817824131745,"Canada","new","NA__NA"
"Fort Good Hope",-0.0144152278476049,"Canada","new","NA__NA"
"Fort Nelson",-0.0147273276104015,"Canada","new","NA__NA"
"Govorovo",-0.0123261799374825,"Russia","new","NA__NA"
"Grise Fiord",-0.0205232266229702,"Canada","new","NA__NA"
"Gubakha",-0.0101777585949257,"Russia","new","NA__NA"
"Hearst",-0.0202305370135092,"Canada","new","NA__NA"
"Holman",-0.0190070676089232,"Canada","new","NA__NA"
"Island Lake",-0.0190908630407487,"Canada","new","NA__NA"
"Ivugivik",-0.0119178520992808,"Canada","new","NA__NA"
"Kavache",-0.00922750400145401,"Russia","new","NA__NA"
