"sitename","means","country","type","stats"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.0325391109916094,"Canada","inactive__Summer","existing"
"Alberta - Western Peatland - Rich Fen  (Carex)",-0.0233284935576638,"Canada","inactive__Summer","existing"
"Aldan",-0.0247345933327793,"Russia","NA__NA","new"
"Alert",-0.0179914016701361,"Canada","NA__NA","new"
"Allakaket",-0.0179414488653497,"United States","NA__NA","new"
"Ambarchik",-0.0154850305045198,"Russia","NA__NA","new"
"Arctic Bay",-0.0225783809047386,"Canada","NA__NA","new"
"Artemovsk",-0.0316573409784821,"Russia","NA__NA","new"
"Athabasca, poor fen",-0.0325391109916094,"Canada","inactive__Summer","existing"
"Athabasca, rich fen",-0.0233284935576638,"Canada","inactive__Summer","existing"
"Baker Lake",-0.013206070401861,"Canada","NA__NA","new"
"Big Beaver House",-0.0388101845468353,"Canada","NA__NA","new"
"Bilibino",-0.0348445053856565,"Russia","NA__NA","new"
"Bodaybo",-0.0391805343539124,"Russia","NA__NA","new"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0425915476437472,"USA","inactive__Summer","existing"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0268159784530062,"USA","active__Summer","existing"
"Boyarka",-0.0182169147808108,"Russia","NA__NA","new"
"Brochet",-0.0257887315155416,"Canada","NA__NA","new"
"Cape Dorset",-0.0251019706766523,"Canada","NA__NA","new"
"Cochrane",-0.0261227385635192,"Canada","NA__NA","new"
"DMI Geophysical Observatory Qaanaaq",-0.0166852800970528,"Greenland/Denmark","NA__NA","new"
"Daring Lake (dwarf shrub)",-0.016612308091201,"Canada","active__Summer","existing"
"Daring Lake (low shrub)",-0.0254460264284903,"Canada","active__Summer","existing"
"Dease Lake",-0.0330260746863864,"Canada","NA__NA","new"
"Ennadai",-0.0392771318369191,"Canada","NA__NA","new"
"Flashline Mars Arctic Research Station",-0.0124205103804961,"Canada","NA__NA","new"
"Fort Good Hope",-0.0323015659454927,"Canada","NA__NA","new"
"Fort Nelson",-0.0311811192560062,"Canada","NA__NA","new"
"Govorovo",-0.0566456674272953,"Russia","NA__NA","new"
"Grise Fiord",-0.0225416082687553,"Canada","NA__NA","new"
"Gubakha",-0.0164113275596049,"Russia","NA__NA","new"
"Hearst",-0.039262847467738,"Canada","NA__NA","new"
"Holman",-0.0231324976058076,"Canada","NA__NA","new"
"Island Lake",-0.0455316082235776,"Canada","NA__NA","new"
"Ivugivik",-0.0245296411689803,"Canada","NA__NA","new"
"Kavache",-0.0431824313676956,"Russia","NA__NA","new"
"Khakhar",-0.0329320706359095,"Russia","NA__NA","new"
"Kirs",-0.0303388126132684,"Russia","NA__NA","new"
"Matagami",-0.0312564190450707,"Canada","NA__NA","new"
"Montana",-0.0184172889400452,"United States","NA__NA","new"
"NEON Delta Junction (DEJU)",-0.0385579955806951,"USA","active__Summer","existing"
"Natara",-0.0557380606026241,"Russia","NA__NA","new"
"Nelegel",-0.015118519889276,"Russia","inactive__Summer","existing"
"Neleger Burnt Forest",-0.016399318348183,"Russia","inactive__Summer","existing"
"Neleger Cutover",-0.0162074104729396,"Russia","inactive__Summer","existing"
"Neleger larch forest",-0.015118519889276,"Russia","inactive__Summer","existing"
"Neryungri",-0.0412967799322989,"Russia","NA__NA","new"
"Nizhneyansk",-0.0273084630361979,"Russia","NA__NA","new"
"Nord",-0.0247534605391712,"Denmark","NA__NA","new"
"Nyukzha",-0.0313417892500397,"Russia","NA__NA","new"
"Olenek",-0.0342647223452291,"Russia","NA__NA","new"
"Omchak",-0.0253402717444866,"Russia","NA__NA","new"
"Omolon",-0.0444779500669001,"Russia","NA__NA","new"
"Omsukchan",-0.0329724323285666,"Russia","NA__NA","new"
"Oymyakon",-0.0261347192103613,"Russia","NA__NA","new"
"Paulatuk",-0.0123144634915897,"Canada","NA__NA","new"
"Poronaysk",-0.0223767230895288,"Russia","NA__NA","new"
"Put Lenina",-0.0361721917459402,"Russia","NA__NA","new"
"Resolute Bay",-0.0202712860658354,"Canada","active__Summer","existing"
"Sangar",-0.0260318248103771,"Russia","NA__NA","new"
"Saskatchewan - Western Boreal, forest burned in 1998",-0.0261845129101051,"Canada","inactive__Summer","existing"
"Saskylakh",-0.0243303832596468,"Russia","NA__NA","new"
"Savissivik",-0.0228440432103246,"Denmark","NA__NA","new"
"Sioux Lookout",-0.0372306309579219,"Canada","NA__NA","new"
"Slavin Watershed TWO",-0.0282866643722487,"Canada","active__Summer","existing"
"Slyudyanka",-0.0288347316109026,"Russia","NA__NA","new"
"Southern Old Aspen (BERMS)",-0.0233408370233529,"Canada","active__Summer","existing"
"Spasskaya Pad (experimental forest)",-0.0239766966406914,"Russia","active__Summer","existing"
"Spasskaya Pad, Larch",-0.0194635837879162,"Russia","active__Summer","existing"
"Suntar",-0.0145581692470092,"Russia","NA__NA","new"
"Susuman",-0.0451672708007839,"Russia","NA__NA","new"
"Terbyas",-0.0233611900949917,"Russia","NA__NA","new"
"Tobolsk",-0.0162808954229626,"Russia","NA__NA","new"
"Tunguskhaya",-0.0486323516864546,"Russia","NA__NA","new"
"Tura",-0.062747016468291,"Russia","active__Summer","existing"
"Tynda",-0.0366358140467483,"Russia","NA__NA","new"
"UCI-1850 burn site",-0.0176282800647707,"Canada","inactive__Summer","existing"
"UCI-1930 burn site",-0.0193259017652062,"Canada","inactive__Summer","existing"
"UCI-1981 burn site",-0.0220928640412159,"Canada","inactive__Summer","existing"
"UCI-1989 burn site",-0.0231004365079827,"Canada","inactive__Summer","existing"
"UCI-1998 burn site",-0.0310654322968762,"Canada","inactive__Summer","existing"
"Udachnyy",-0.0467426670286636,"Russia","NA__NA","new"
