"sitename","means","country","stats","type"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.032132064781173,"Canada","existing","inactive__Summer"
"Alberta - Western Peatland - Rich Fen  (Carex)",-0.0233284935576638,"Canada","existing","inactive__Summer"
"Aldan",-0.0175322453240376,"Russia","new","NA__NA"
"Alert",-0.0179914016701361,"Canada","new","NA__NA"
"Allakaket",-0.00779926174322169,"United States","new","NA__NA"
"Ambarchik",-0.0154812294573796,"Russia","new","NA__NA"
"Arctic Bay",-0.0225783553400616,"Canada","new","NA__NA"
"Artemovsk",-0.0316573409784821,"Russia","new","NA__NA"
"Athabasca, poor fen",-0.032132064781173,"Canada","existing","inactive__Summer"
"Athabasca, rich fen",-0.0233284935576638,"Canada","existing","inactive__Summer"
"Baker Lake",-0.0125372601670328,"Canada","new","NA__NA"
"Big Beaver House",-0.0374577519464111,"Canada","new","NA__NA"
"Bilibino",-0.0163796381290379,"Russia","new","NA__NA"
"Bodaybo",-0.0284021161620911,"Russia","new","NA__NA"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0346136123810765,"USA","existing","inactive__Summer"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0265688690053835,"USA","existing","active__Summer"
"Boyarka",-0.00801150952456875,"Russia","new","NA__NA"
"Brochet",-0.018954791366988,"Canada","new","NA__NA"
"Cape Dorset",-0.0251019706766523,"Canada","new","NA__NA"
"Cochrane",-0.0261227385635192,"Canada","new","NA__NA"
"DMI Geophysical Observatory Qaanaaq",-0.0166852800970528,"Greenland/Denmark","new","NA__NA"
"Daring Lake (dwarf shrub)",-0.0128725080100231,"Canada","existing","active__Summer"
"Daring Lake (low shrub)",-0.0189485585341587,"Canada","existing","active__Summer"
"Dease Lake",-0.0330259559342386,"Canada","new","NA__NA"
"Ennadai",-0.0285131860215171,"Canada","new","NA__NA"
"Flashline Mars Arctic Research Station",-0.0124205103804961,"Canada","new","NA__NA"
"Fort Good Hope",-0.0209638844887823,"Canada","new","NA__NA"
"Fort Nelson",-0.0311810852967042,"Canada","new","NA__NA"
"Govorovo",-0.0359563197657342,"Russia","new","NA__NA"
"Grise Fiord",-0.0225416082687553,"Canada","new","NA__NA"
"Gubakha",-0.0164113275596049,"Russia","new","NA__NA"
"Hearst",-0.0392198440002556,"Canada","new","NA__NA"
"Holman",-0.0231324976058076,"Canada","new","NA__NA"
