"sitename","means","country","type"
"Abisko, main tower",-0.00407681502600645,"Sweden","active_nonmethane_Summer"
"Adventdalen",-0.0129463359371714,"Norway","active_nonmethane_All year"
"Aemmaessuo",-0.00375144875719542,"Finland","active_methane_Summer"
"Agali Forest Station",-0.0035861361398735,"Greenland","active_methane_Summer"
"Anaktuvuk River (moderate burn)",-0.00130203765602845,"USA","active_nonmethane_Summer"
"Anaktuvuk River (severe burn)",-0.0010895377785766,"USA","active_nonmethane_Summer"
"Anaktuvuk River (unburned)",-0.00169657585345393,"USA","active_nonmethane_Summer"
"Attawapiskat River Bog",-0.012361220606435,"Canada","active_methane_Summer"
"Attawapiskat River Fen",-0.010945196855412,"Canada","active_methane_Summer"
"Bayelva, Spitsbergen",-0.0179124807837727,"Norway","active_nonmethane_All year"
"Bonanza Creek Black Spruce",-3.97962112373268e-05,"USA","active_methane_Summer"
"Bonanza Creek Old Thermokarst Bog",-0.000523490340296968,"USA","active_methane_Summer"
"Bonanza Creek, 1999 Burn site near Delta Junction",-0.00566131752762279,"USA","active_nonmethane_Summer"
"Chersky, Pleistocene Park",-0.0206839073958081,"Russia","active_nonmethane_All year"
"Chokurdakh/Kytalyk",-0.00361519771536791,"Russia","active_methane_Summer"
"Council, Alaska",-0.00727979907206742,"USA","active_nonmethane_Summer"
"Daring Lake",-0.007204309333374,"Canada","active_nonmethane_Summer"
"Daring Lake (Fen)",-0.00682978376073515,"Canada","active_methane_Summer"
"Daring Lake (dwarf shrub)",-0.0120495916519226,"Canada","active_nonmethane_Summer"
"Daring Lake (low shrub)",-0.0175851296706679,"Canada","active_nonmethane_Summer"
"Daring Lake (mixed tundra)",-0.00682978376073515,"Canada","active_methane_Summer"
"Disko",-0.0171101530973578,"Greenland","active_nonmethane_Summer"
"Faejemyr",-0.00353472467240109,"Sweden","active_methane_Summer"
"Finse",-0.00882780892728955,"Norway","active_nonmethane_Summer"
"Finse Mobile",-0.00882780892728955,"Norway","active_nonmethane_Summer"
"Flakaliden",-0.0051151777279659,"Sweden","active_nonmethane_All year"
"Focal Campaign Site 1",-0.00169935740701754,"USA","active_methane_Summer"
"Focal Campaign Site 2",-0.00182835560904337,"USA","active_methane_Summer"
"Groundhog River",-0.016683094724337,"Canada","active_nonmethane_Summer"
"Halssiaapa",-0.00434968552441984,"Finland","active_methane_Summer"
"Havikpak Creek",-0.000985023384868668,"Canada","active_methane_Summer"
"Hurdal",-0.00747657080089704,"Norway","active_nonmethane_Summer"
"Hyltemossa",-0.00394732356179692,"Sweden","active_nonmethane_Summer"
"Igarka",-0.00912828224156274,"Russia","active_methane_Summer"
"Imnavait, Alaska heath tundra",-0.00370938338859836,"USA","active_nonmethane_All year"
"Imnavait, Alaska tussock tundra",-0.00142987408725383,"USA","active_nonmethane_All year"
"Kenttarova",-0.00727715837477069,"Finland","active_nonmethane_All year"
"Kilpisjaervi",-0.00568365578095434,"Finland","active_nonmethane_All year"
"Kinoje Lake",-0.0141156871800776,"Canada","active_nonmethane_All year"
"Knottasen",-0.00558279367809399,"Sweden","active_nonmethane_Summer"
"Kumpula",-0.00162964716733976,"Finland","active_nonmethane_Summer"
"La Biche River",-0.0130303407107124,"Canada","active_nonmethane_Summer"
"Lettosuo",-0.00341777750985361,"Finland","active_nonmethane_Summer"
"Lily Lake Fen",-0.00462106614389494,"USA","active_methane_Summer"
"Mader",-0.0042595587731236,"Finland","active_nonmethane_Summer"
"Montmorency Forest juvenile",-0.00170340009249032,"Canada","active_nonmethane_Summer"
"Montmorency Forest sapling",-0.00198859234124737,"Canada","active_nonmethane_Summer"
"Mukhrino",-0.0108985389139725,"Russia","active_nonmethane_Summer"
"NEON Barrow Environmental Observatory (BARR)",-0.000382902173675788,"USA","active_nonmethane_Summer"
"NEON Caribou Creek - Poker Flats Watershed (BONA)",-0.00289214668466054,"USA","active_nonmethane_Summer"
"NEON Delta Junction (DEJU)",-0.0187562976760759,"USA","active_nonmethane_Summer"
"NEON Healy (HEAL)",-0.00408586347062198,"USA","active_nonmethane_Summer"
"NEON Toolik (TOOL)",-0.00284666104550907,"USA","active_nonmethane_Summer"
"NGEE Arctic Barrow",-0.000134054247154205,"USA","active_methane_Summer"
"Norunda",-0.00722567881701559,"Sweden","active_nonmethane_All year"
"Nuuk Fen",-0.0116168595943549,"Greenland","active_nonmethane_Summer"
"Oulanka, Puukkosuo fen",-0.0162187882062391,"Finland","active_methane_Summer"
"Poker Flat Research (fire scar succession)",-0.00340130881480384,"USA","active_nonmethane_All year"
"Poker Flat Research Range Black Spruce Forest",-0.00133947930255832,"USA","active_nonmethane_All year"
"Qvidja",-0.00293315435149811,"Finland","active_nonmethane_All year"
"Resolute Bay",-0.020832843203882,"Canada","active_methane_Summer"
"Robinsons_Natural_Bog_NL",-0.00714510696739396,"Canada","active_methane_Summer"
"Robinsons_Peatland_Pasture_NL",-0.00719498243240231,"Canada","active_methane_Summer"
"Rosinedal-3",-0.00771978411813813,"Sweden","active_nonmethane_Summer"
"Rosinedalsheden (control)",-0.00691238285563882,"Sweden","active_nonmethane_All year"
"Rosinedalsheden (fertilized)",-0.00756605058568064,"Sweden","active_nonmethane_All year"
"Sammaltunturi",-0.00423375845244296,"Finland","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",-0.00271154696150376,"Canada","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",-0.00254905287148421,"Canada","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",-0.00169133569198504,"Canada","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Mature Black Spruce",-0.0153441674210338,"Canada","active_nonmethane_Summer"
"Saskatchewan - Western Boreal, Mature Jack Pine",-0.00378349479713424,"Canada","active_nonmethane_Summer"
"Skyttorp, young",-0.00637249293731283,"Sweden","active_nonmethane_Summer"
"Slavin Watershed TWO",-0.016837580307348,"Canada","active_nonmethane_Summer"
"Sodankyla",-0.00790858298135473,"Finland","active_nonmethane_All year"
"Southern Old Aspen (BERMS)",-0.0144138752601079,"Canada","active_nonmethane_Summer"
"Spasskaya Pad (experimental forest)",-0.0231561444164975,"Russia","active_nonmethane_Summer"
"Spasskaya Pad, Larch",-0.0184823209989289,"Russia","active_nonmethane_Summer"
"Stordalen Grassland Mire",-0.00457314507833222,"Sweden","active_methane_Summer"
"Svartberget",-0.00958300754832243,"Sweden","active_nonmethane_All year"
"Svartberget tall tower 60m",-0.00958300754832243,"Sweden","active_methane_Summer"
"Svartberget tall tower 85m",-0.00958300754832243,"Sweden","active_nonmethane_All year"
"Tervalamminsuo",-0.00497162018481603,"Finland","active_nonmethane_Summer"
"Trail Valley Creek (lakeside)",-0.000873104533742801,"Canada","active_nonmethane_Summer"
"Trail Valley Creek (tall)",-0.000755502909583558,"Canada","active_nonmethane_Summer"
"Udleg Forest Research Station",-0.00255255497091267,"Mongolia","active_nonmethane_All year"
"Vaerrioe",-0.00620236712011887,"Finland","active_nonmethane_All year"
"Wolf Creek Buckbrush",-0.00788065789486788,"Canada","active_nonmethane_Summer"
"Wolf Creek Forest",-0.00908917616251814,"Canada","active_nonmethane_All year"
"Wolf Creek Sparse Shrub",-0.00683295561863219,"Canada","active_nonmethane_Summer"
"Wolf Creek Upper Forest",-0.0137584241640359,"Canada","active_nonmethane_Summer"
"Yakutsk-Pine",-0.0215325897317319,"Russia","active_nonmethane_Summer"
"ZOTTO-Bog EC",-0.0131495219081245,"Russia","active_nonmethane_All year"
"ZOTTO-Fen EC",-0.0148978297311881,"Russia","active_methane_Summer"
"Zackenberg, Heath",-0.0169760570815197,"Greenland","active_nonmethane_All year"
"Zotino East, Birch Stand",-0.00528539279156584,"Russia","active_nonmethane_Summer"
"Zotino East, Mixed Stand",-0.00717957025322766,"Russia","active_nonmethane_Summer"
"Zotino East, Pole Stand",-0.00816600680373171,"Russia","active_nonmethane_Summer"
