"sitename","means","country","type","stats"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.0284665664762325,"Canada","inactive__Summer","existing"
"Alert",-0.00823140414560386,"Canada","NA__NA","new"
"Ambarchik",-0.0119388156424467,"Russia","NA__NA","new"
"Arctic Bay",-0.0124658635258034,"Canada","NA__NA","new"
"Artemovsk",-0.0297523472719819,"Russia","NA__NA","new"
"Athabasca, poor fen",-0.0284665664762325,"Canada","inactive__Summer","existing"
"Athabasca, rich fen",-0.0212906886533313,"Canada","inactive__Summer","existing"
"Bayelva, Spitsbergen",-0.015469055187336,"Norway","active__All year","existing"
"Big Beaver House",-0.0296668514550214,"Canada","NA__NA","new"
"Bilibino",-0.0156760752702023,"Russia","NA__NA","new"
"Bodaybo",-0.0244810948261736,"Russia","NA__NA","new"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0298904825145327,"USA","inactive__Summer","existing"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.025993846107987,"USA","active__Summer","existing"
"Brochet",-0.0157771534173525,"Canada","NA__NA","new"
"Cape Bounty",-0.0137480239635112,"Canada","active__Summer","existing"
"Cape Dorset",-0.0184582117478902,"Canada","NA__NA","new"
"Cat Lake",-0.0220022828006511,"Canada","NA__NA","new"
"Chegdomyn",-0.0319348886789559,"Russia","NA__NA","new"
"Cochrane",-0.0236782388225496,"Canada","NA__NA","new"
"DMI Geophysical Observatory Qaanaaq",-0.00940890304878941,"Greenland/Denmark","NA__NA","new"
"Dasan Station site",-0.0161137177481398,"Norway","inactive__All year","existing"
"Dease Lake",-0.0269439290410844,"Canada","NA__NA","new"
"Egvekinot",-0.0157419834685117,"Russia","NA__NA","new"
"Ennadai",-0.0226971048118609,"Canada","NA__NA","new"
"Fort Good Hope",-0.0177077532171762,"Canada","NA__NA","new"
"Fort Nelson",-0.0294789658755652,"Canada","NA__NA","new"
"Govorovo",-0.0338826846769544,"Russia","NA__NA","new"
"Grise Fiord",-0.0106393746399955,"Canada","NA__NA","new"
"Gulkana",-0.0203628934871511,"United States","NA__NA","new"
"Hearst",-0.0314736625985962,"Canada","NA__NA","new"
"Holman",-0.0134925767563422,"Canada","NA__NA","new"
"Inukjuak",-0.0156864895304959,"Canada","NA__NA","new"
"Island Lake",-0.0359877886048195,"Canada","NA__NA","new"
"Ivugivik",-0.0199470148586115,"Canada","NA__NA","new"
"Kangerlussuaq",-0.012654312403397,"Denmark","NA__NA","new"
"Kangirsuk",-0.0163849954611855,"Canada","NA__NA","new"
"Kavache",-0.0262160321211752,"Russia","NA__NA","new"
"Khakhar",-0.0163086595692487,"Russia","NA__NA","new"
"Kimmirut",-0.0189979995770193,"Canada","NA__NA","new"
"Kirs",-0.0248267460453412,"Russia","NA__NA","new"
"Krasnoturinsk",-0.03457700707593,"Russia","NA__NA","new"
"Matagami",-0.0247341202026331,"Canada","NA__NA","new"
"NEON Delta Junction (DEJU)",-0.0288214775781489,"USA","active__Summer","existing"
"Natara",-0.0291050046876237,"Russia","NA__NA","new"
"Neryungri",-0.0213938923718967,"Russia","NA__NA","new"
