"site","Latitude","Longitude","Season_Activity.2024","methane.2024","pp","towersites"
"ARM-NSA-Barrow",71.3242,-156.6149,"All year","methane","Other","Other Year-round"
"Abisko, main tower",68.3624,18.7948,"Summer","nonmethane","Other","Other network"
"Adventdalen",78.1854,15.9242,"All year","nonmethane","Other","Other Year-round"
"Aemmaessuo",60.2365,24.5344,"Summer","methane","Other","Other network"
"Agali Forest Station",58.2875,27.2835,"Summer","methane","Other","Other network"
"Anaktuvuk River (moderate burn)",68.95,-150.21,"Summer","nonmethane","Other","Other network"
"Anaktuvuk River (severe burn)",68.99,-150.28,"Summer","nonmethane","Other","Other network"
"Anaktuvuk River (unburned)",68.93,-150.27,"Summer","nonmethane","Other","Other network"
"Atqasuk",70.4696,-157.4089,"All year","methane","Other","Other Year-round"
"Attawapiskat River Bog",52.695,-83.9452,"Summer","methane","Other","Other network"
"Attawapiskat River Fen",52.7008,-83.955,"Summer","methane","Other","Other network"
"Barrow",71.3225,-156.6259,"All year","methane","Other","Other Year-round"
"Barrow-BEO",71.281,-156.6259,"All year","methane","Other","Other Year-round"
"Barrow-BES",71.2809,-156.5965,"All year","methane","Other","Other Year-round"
"Bayelva, Spitsbergen",78.9216,11.8311,"All year","nonmethane","Other","Other Year-round"
"Bonanza Creek Black Spruce",64.6964,-148.3235,"Summer","methane","Other","Other network"
"Bonanza Creek Fen",64.7037,-148.3133,"All year","methane","Other","Other Year-round"
"Bonanza Creek Old Thermokarst Bog",64.6936,-148.33,"Summer","methane","Other","Other network"
"Bonanza Creek, 1987 Burn site near Delta Junction",63.9178,-145.3731,"Summer","nonmethane","Other","Other network"
"Bonanza Creek, 1999 Burn site near Delta Junction",63.9217,-145.7456,"Summer","nonmethane","Other","Other network"
"Cambridge Bay, Victoria Island, mesic",69.2221,-104.8986,"All year","methane","PP Supported","PP Supported"
"Cambridge Bay, Victoria Island, wetland",69.2346,-104.9033,"All year","methane","PP Supported","PP Supported"
"Cape Bounty",74.917,-109.563,"Summer","nonmethane","Other","Other network"
"Chersky, Pleistocene Park",68.5135,161.5312,"All year","methane","PP Supported","PP Supported"
