"","Variables","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"MeanTemp","MeanTemp",-0.350935420948,-0.0590762534147892,0.0153504119342581,0.187006945820081,-0.137251337468832,-0.0647523298748209,-0.00838395209914298,-0.11558805523156,-0.0933553122555617,-0.0209733261684301,0.24093667151001,0.0979327403062276,-0.101724898415051,-0.0364326980617861,0.355603105716484,-0.58147057485458,-0.496516072077983,-0.00775387231504841,-0.0453906529820798,0.00186445739667694
"Precip","Precip",-0.278274725901525,-0.185552839426429,-0.0349452522248925,-0.0665399897667915,-0.0644339689408094,-0.106357548988025,-0.541563648069859,0.148190483889393,0.0866822486551986,-0.101342973735017,0.105771439378139,-0.705265126795647,0.122959970153631,-0.0860670412487979,-0.00149734595663706,0.0415292823773137,0.0304208573816073,-0.014260968518743,0.00402227095312369,9.02682918102624e-05
"PrecipSeasonality","PrecipSeasonality",0.146439288465816,0.280490847524502,-0.205447253624351,-0.0709980214801095,-0.0418166469677943,-0.419184836295183,0.413295754293312,-0.109566883603268,-0.261096657814999,-0.537197205715538,0.159415425402353,-0.300210986949642,0.0417811709709498,-0.101458553468685,-0.0649170960358162,-0.00572129520568237,-0.0377213122165424,-0.0421396126614843,0.0238946922328282,-8.59788111498668e-06
"MeanDiurnalRange","MeanDiurnalRange",-0.103149408603765,0.379439334810031,-0.151884508890273,-0.18795984312563,-0.175443420833216,-0.358484773084504,-0.160297986908478,0.0592954682980841,0.18530809106766,0.154978003217845,-0.0362239163464179,0.164790279337323,0.0842415739784103,0.109201195204804,0.0468573725360935,-0.410097942384101,0.519253358024365,0.012677752740665,-0.229077929435752,-0.000910783342878591
"Isothermality","Isothermality",-0.274883611638582,0.0249498159685862,-0.151280123469984,0.129587819597732,-0.107421493953153,-0.561284267124078,0.0417075845888267,-0.0496854780539576,0.30658135504998,0.185539509734103,-0.370433086568626,0.097498048806122,-0.11318762779332,-0.0421523243582731,-0.0766941197652261,0.368565323672385,-0.343008181296098,-0.0011802708270803,0.0651151712070829,-0.00020082591891908
"TempSeasonality","TempSeasonality",0.205988554046465,0.350292771714456,-0.0159767413828496,-0.311493877663467,0.00616996831241091,0.111763285365024,-0.173357447600734,0.0622916790986269,-6.41776984096655e-05,0.0894926245016352,0.102222810781642,-0.0225677807920611,0.0661951220811595,0.0547531597654286,-0.0199323517066127,0.182177003839404,-0.481028216025584,0.0928106692724974,-0.625445789778759,0.000484271312044952
"TempAnnualRange","TempAnnualRange",0.13853322396969,0.394090657736168,-0.0343787181939139,-0.324864502501401,-0.0726701955237341,0.0439251049805222,-0.221821690923986,0.0780897945464674,0.0374623801636079,0.102316991063731,0.134018451198366,0.062182408318783,0.0720486054155608,0.108832680803565,0.0302891227465949,-0.0229549032373837,-0.244089818947996,0.00637295017986399,0.737881118312708,0.000549666195812355
"NDVImax","NDVImax",0.287383758087423,-0.178919650545318,-0.115901199026809,0.155673781590836,0.0194783574340137,-0.1813817647248,-0.256776097255916,0.0512323023352595,-0.32634743410869,-0.110567588728857,-0.354895362046862,0.117749033913429,0.458672639289063,0.349377121684063,0.284503971596973,-0.0149085051468349,-0.0920607025702597,-0.255003425034491,-0.0154308454461119,-0.000544430431652586
"NDVIsum","NDVIsum",-0.258523882543546,0.0431668003223126,0.226117260626316,-0.264017728038895,8.74503922715843e-05,0.250682490787539,0.388480948437598,0.0140066716639491,0.349235643234831,-0.175727490437915,-0.400002280878013,-0.208922649231802,0.337741004960282,0.25984615135945,-0.0184996802937946,-0.199709267945241,-0.117729457170467,-0.0658567728842921,0.00192769964710266,-0.000149827133032245
"EVImax","EVImax",-0.334525049156815,0.183208309373128,0.00280915762121599,0.0325443875797372,-0.0554349077498477,0.0895286063301961,0.157481361220197,0.029244234734652,-0.125227446711095,0.0201114853888498,0.154290384092092,-0.0110046428677867,0.108113987983853,0.17128009835768,0.642091595205607,0.458579852369906,0.199959318907938,0.270348822184916,0.005248957947223,-0.00113709585486714
"NDWImin","NDWImin",-0.297844789962356,0.252669988519868,0.116190077381936,-0.0656601825215288,0.162027930140311,0.0620610207844764,0.0375410494803917,0.0746417549507399,-0.259064106096841,0.176172744878816,-0.00235659067101653,-0.0236910911200044,-0.116610078834654,-0.124914497943016,0.00952702387431894,0.111765030067103,0.0490637456838586,-0.805026777810711,-0.0396466831997103,0.000895243432799802
"SWIRaug","SWIRaug",-0.26500831219485,0.209891061342127,0.145766561129818,0.0760980574139066,0.258301700039319,-0.0433723501885701,-0.0223518415034923,0.155270199910058,-0.563210784602252,0.184565732848123,-0.310447890946393,-0.0634723519851516,0.100897368833034,-0.0928123505938101,-0.283383263477093,-0.141473045218478,-0.0330746738231636,0.437781560691254,0.0439021567868868,-0.00122349960611686
"BulkDens","BulkDens",-0.0937555711259058,0.101290011059686,-0.48526583717627,0.063246647283286,0.135588315077649,0.233204255628052,-0.0733704485269316,-0.577302569601352,-0.0772336845120439,0.116264349309867,-0.10278355847009,-0.219740464335511,-0.23754789307184,0.425668989082613,-0.10988079609403,-0.0354442627035243,0.0269546373221185,0.000202366680265596,0.00497097066744467,-9.19258180902307e-05
