,ER1 Threshold,,,ER4 Threshold,,,,
,Base,Improved,ABCFlux,Base,Improved,ABCFlux,Area Improved,Net Improvement
Whole Domain,,,,,,,,
Growing Season CO2,76.4%,82.4%,62.0%,55.2%,61.7%,35.5%,23.2%,6.4%
Growing Season CH4,49.4%,60.7%,42.6%,28.0%,36.5%,19.7%,51.8%,12.7%
Year-round CO2,50.8%,65.1%,49.3%,29.4%,38.2%,26.5%,50.3%,13.8%
Year-round CH4,38.1%,53.7%,38.3%,20.6%,29.2%,17.1%,56.3%,17.0%
Boreal,,,,,,,,
Growing Season CO2,82.8%,83.3%,62.0%,61.3%,62.4%,36.8%,12.3%,1.3%
Growing Season CH4,49.9%,58.0%,38.5%,27.6%,34.5%,18.1%,48.3%,7.1%
Year-round CO2,52.1%,64.6%,49.5%,30.0%,36.8%,27.7%,45.7%,11.9%
Year-round CH4,37.3%,50.6%,34.4%,19.6%,26.3%,15.1%,51.9%,14.8%
Tundra,,,,,,,,
Growing Season CO2,63.3%,80.3%,61.9%,42.7%,60.1%,32.8%,45.1%,14.6%
Growing Season CH4,48.2%,65.8%,50.7%,28.8%,40.2%,23.1%,58.7%,22.0%
Year-round CO2,48.3%,65.9%,48.9%,28.1%,41.0%,24.3%,60.0%,17.1%
Year-round CH4,39.6%,59.7%,46.1%,22.7%,34.9%,21.2%,65.4%,21.0%
