"sitename","eco","lc","er1","er4","net","some","scenario"
"Yessey","East Siberian taiga",60,0.887729700654233,0.771336107214514,0.0224769086014697,0.0736346853272643,"Growing Season CO2"
"Tynda","East Siberian taiga",18,0.905517186013292,0.787527320386126,0.012259685510928,0.043436148083262,"Growing Season CO2"
"Krasnoturinsk","West Siberian taiga",20,0.91830351466485,0.808716048338814,0.011893742977374,0.0518052950126668,"Growing Season CO2"
"Naujaat","Canadian Middle Arctic Tundra",NA,0.923593650317109,0.815507449402162,0.00892305880330707,0.041275852333501,"Growing Season CO2"
"Chegdomyn","Okhotsk-Manchurian taiga",18,0.926627533375485,0.825700093059137,0.00856761101099335,0.0531988860772161,"Growing Season CO2"
"Menkere","East Siberian taiga",31,0.747963331817975,0.566502289109104,0.0332242631979404,0.132897220560923,"Growing Season CH4"
"Naujaat","Canadian Middle Arctic Tundra",NA,0.764652855531587,0.592598750439208,0.020487514543995,0.0777475286758161,"Growing Season CH4"
"Island Lake","Midwest Canadian Shield forests",64,0.790460812950817,0.62340960635684,0.0207814655326616,0.117004328667076,"Growing Season CH4"
"Yessey","East Siberian taiga",60,0.804984182163459,0.644342766081124,0.0211124346697764,0.0804259280459845,"Growing Season CH4"
"Chegdomyn","Okhotsk-Manchurian taiga",18,0.823767655228009,0.663535718351778,0.0160069483530694,0.0862232415393695,"Growing Season CH4"
"Menkere","East Siberian taiga",31,0.765944789345433,0.587666790333821,0.0340223170000206,0.132031233794417,"Annual CO2"
"Yessey","East Siberian taiga",60,0.781370406244225,0.608689256427881,0.0211263509576142,0.0850130135531917,"Annual CO2"
"Cape Bounty","Canadian High Arctic tundra",65,0.796678056395706,0.626117141138425,0.020966211919017,0.0649117965005521,"Annual CO2"
"Krasnoturinsk","West Siberian taiga",20,0.825401771781372,0.655276304249067,0.0180879068158183,0.0799721123442463,"Annual CO2"
"Chegdomyn","Okhotsk-Manchurian taiga",18,0.843795558718226,0.674307111621403,0.0162143463065232,0.0863307575412816,"Annual CO2"
"Tura","East Siberian taiga",18,0.665217021604066,0.468093003400134,0.0226552142622842,0.0790709730704876,"Year-round CH4"
"Island Lake","Midwest Canadian Shield forests",64,0.703375384915996,0.513074436700864,0.032779152388972,0.14282242014245,"Year-round CH4"
"Govorovo","East Siberian taiga",52,0.733134832508595,0.542828500576137,0.0220844984870618,0.126982257009481,"Year-round CH4"
"Hearst","Central Canadian Shield forests",16,0.74780451215683,0.564821460890698,0.0196763593237147,0.107107156084574,"Year-round CH4"
"Cape Dorset","Canadian Middle Arctic Tundra",65,0.770247012868193,0.593522374650039,0.0170912367748968,0.0973900213432723,"Year-round CH4"
